FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:55045 => 138.201.56.69:443,192.168.178.41,55045,138.201.56.69,443,6,1679951866.052029,telesport,2.048870,156,156,11200,0,5466.427835831458316047382216,76.13953057050959797351710943,71.7948717948718
192.168.178.41:55046 => 138.201.56.69:443,192.168.178.41,55046,138.201.56.69,443,6,1679951866.052231,telesport,2.041485,124,124,10972,0,5374.519038836925081497047492,60.74009850672427179234723743,88.48387096774194
138.201.56.69:443 => 192.168.178.41:55046,138.201.56.69,443,192.168.178.41,55046,6,1679951866.094663,telesport,1.998885,270,270,389744,0,194980.7017412207305572856868,135.0753044822488537359577965,1443.4962962962964
138.201.56.69:443 => 192.168.178.41:55045,138.201.56.69,443,192.168.178.41,55045,6,1679951866.094670,telesport,2.006070,489,489,724051,0,360930.0772156505007302835893,243.7601878299361438035562069,1480.676891615542
192.168.178.41:55048 => 138.201.56.69:443,192.168.178.41,55048,138.201.56.69,443,6,1679951866.650848,telesport,1.450034,116,116,11633,0,8022.570505243325328923321798,79.99812418191573438967638000,100.28448275862068
192.168.178.41:55049 => 138.201.56.69:443,192.168.178.41,55049,138.201.56.69,443,6,1679951866.651281,telesport,1.449552,38,38,5146,0,3550.062364095941366711922028,26.21499608154795412651633056,135.42105263157896
192.168.178.41:55050 => 138.201.56.69:443,192.168.178.41,55050,138.201.56.69,443,6,1679951866.651391,telesport,1.449516,154,154,11775,0,8123.401190466334969741624101,106.2423595186255274174276103,76.46103896103897
138.201.56.69:443 => 192.168.178.41:55048,138.201.56.69,443,192.168.178.41,55048,6,1679951866.711494,telesport,1.389246,296,296,429859,0,309418.9222067222075859854914,213.0652166714894266386226773,1452.2263513513512
138.201.56.69:443 => 192.168.178.41:55049,138.201.56.69,443,192.168.178.41,55049,6,1679951866.711495,telesport,1.389240,53,53,70119,0,50472.92044571132417724799171,38.15035559010682099565229910,1323.0
138.201.56.69:443 => 192.168.178.41:55050,138.201.56.69,443,192.168.178.41,55050,6,1679951866.711495,telesport,1.389246,520,520,767077,0,552153.4702997165368840363766,374.3037590174814251759587575,1475.1480769230768
192.168.178.41:55061 => 138.201.56.69:443,192.168.178.41,55061,138.201.56.69,443,6,1679951867.163307,telesport,0.936037,34,34,3744,0,3999.841886592089842602375761,36.32335046584696972448738672,110.11764705882354
138.201.56.69:443 => 192.168.178.41:55061,138.201.56.69,443,192.168.178.41,55061,6,1679951867.207838,telesport,0.891395,60,60,80997,0,90865.44124658540826457406649,67.31022722810875089045821437,1349.95
