FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:59880 => 138.201.56.69:443,192.168.178.41,59880,138.201.56.69,443,6,1679952778.902931,telesport,1.749400,197,197,14056,0,8034.754773065050874585572196,112.6100377272207614039099120,71.3502538071066
192.168.178.41:59881 => 138.201.56.69:443,192.168.178.41,59881,138.201.56.69,443,6,1679952778.903244,telesport,1.748037,131,131,11795,0,6747.568844366566611576299586,74.94120547791608530025394199,90.0381679389313
138.201.56.69:443 => 192.168.178.41:59881,138.201.56.69,443,192.168.178.41,59881,6,1679952778.946937,telesport,1.703994,354,354,519637,0,304952.3648557447972234644019,207.7472103775013292300325001,1467.9011299435028
138.201.56.69:443 => 192.168.178.41:59880,138.201.56.69,443,192.168.178.41,59880,6,1679952778.946942,telesport,1.705237,725,725,1074884,0,630342.8790250270197045923822,425.1608427450260579614446555,1482.5986206896553
192.168.178.41:59885 => 138.201.56.69:443,192.168.178.41,59885,138.201.56.69,443,6,1679952779.431860,telesport,1.214666,105,105,9145,0,7528.818621744578344993603180,86.44351615999789242474886100,87.0952380952381
192.168.178.41:59886 => 138.201.56.69:443,192.168.178.41,59886,138.201.56.69,443,6,1679952779.431926,telesport,1.220373,101,101,9697,0,7945.931284943209985799423619,82.76158190979315340473773182,96.00990099009901
192.168.178.41:59887 => 138.201.56.69:443,192.168.178.41,59887,138.201.56.69,443,6,1679952779.432297,telesport,1.219963,39,39,5824,0,4773.915274479635857808802398,31.96818264160470440496965892,149.33333333333334
138.201.56.69:443 => 192.168.178.41:59886,138.201.56.69,443,192.168.178.41,59886,6,1679952779.485388,telesport,1.166790,252,252,367415,0,314893.8540782831529238337661,215.9771681279407605481706220,1457.9960317460318
138.201.56.69:443 => 192.168.178.41:59887,138.201.56.69,443,192.168.178.41,59887,6,1679952779.485388,telesport,1.166784,54,54,70171,0,60140.52301025725412758488289,46.28105973342109593549448741,1299.462962962963
138.201.56.69:443 => 192.168.178.41:59885,138.201.56.69,443,192.168.178.41,59885,6,1679952779.487428,telesport,1.159045,274,274,399297,0,344505.1745186770142660552438,236.4015202170752645496939291,1457.2883211678832
192.168.178.41:59904 => 138.201.56.69:443,192.168.178.41,59904,138.201.56.69,443,6,1679952779.861688,telesport,0.790675,21,21,2437,0,3082.176621241344420906187751,26.55958516457457235906029658,116.04761904761905
138.201.56.69:443 => 192.168.178.41:59904,138.201.56.69,443,192.168.178.41,59904,6,1679952779.932189,telesport,0.719990,34,34,43783,0,60810.56681342796427728162891,47.22287809552910457089681801,1287.735294117647
