FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:64594 => 138.201.56.69:443,192.168.178.41,64594,138.201.56.69,443,6,1679953510.240252,telesport,1.788484,126,126,10854,0,6068.827006559745572227652023,70.45072810268361360794952597,86.14285714285714
192.168.178.41:64595 => 138.201.56.69:443,192.168.178.41,64595,138.201.56.69,443,6,1679953510.240481,telesport,1.789606,216,216,15082,0,8427.553327380440163924349829,120.6969578778792650449316777,69.82407407407408
138.201.56.69:443 => 192.168.178.41:64595,138.201.56.69,443,192.168.178.41,64595,6,1679953510.287787,telesport,1.742237,731,731,1082908,0,621561.8196605857871231066726,419.5755227331298784264138576,1481.406292749658
138.201.56.69:443 => 192.168.178.41:64594,138.201.56.69,443,192.168.178.41,64594,6,1679953510.287797,telesport,1.740833,410,410,603822,0,346858.0846066222320004273816,235.5194323637017450841062870,1472.7365853658537
192.168.178.41:64597 => 138.201.56.69:443,192.168.178.41,64597,138.201.56.69,443,6,1679953510.809093,telesport,1.221050,49,49,6879,0,5633.675934646410875885508374,40.12939683059661766512427829,140.3877551020408
192.168.178.41:64598 => 138.201.56.69:443,192.168.178.41,64598,138.201.56.69,443,6,1679953510.809207,telesport,1.220977,92,92,8591,0,7036.168576476051555434705158,75.34949470792652113839982244,93.3804347826087
192.168.178.41:64599 => 138.201.56.69:443,192.168.178.41,64599,138.201.56.69,443,6,1679953510.809347,telesport,1.220771,75,75,8364,0,6851.407839799602054767028378,61.43658392933646031892959449,111.52
138.201.56.69:443 => 192.168.178.41:64599,138.201.56.69,443,192.168.178.41,64599,6,1679953510.868652,telesport,1.161373,148,148,212255,0,182762.1272407744970823327217,127.4353717539498507370155841,1434.1554054054054
138.201.56.69:443 => 192.168.178.41:64598,138.201.56.69,443,192.168.178.41,64598,6,1679953510.868653,telesport,1.161371,256,256,374645,0,322588.5612780067695852574242,220.4291307428892231681349026,1463.45703125
138.201.56.69:443 => 192.168.178.41:64597,138.201.56.69,443,192.168.178.41,64597,6,1679953510.868653,telesport,1.161372,96,96,132184,0,113817.1059746575601960439894,82.66085285334931443155164753,1376.9166666666667
192.168.178.41:64608 => 138.201.56.69:443,192.168.178.41,64608,138.201.56.69,443,6,1679953511.135803,telesport,0.894364,29,29,2853,0,3189.976340729278012084565121,32.42527650934071586065628760,98.37931034482759
138.201.56.69:443 => 192.168.178.41:64608,138.201.56.69,443,192.168.178.41,64608,6,1679953511.207921,telesport,0.822104,34,34,43783,0,53257.25212381888422875937838,41.35729786012475307260395278,1287.735294117647
