FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:55932 => 51.178.75.191:443,192.168.178.41,55932,51.178.75.191,443,6,1679951978.886477,balkanweb,2.565748,52,52,7364,0,2870.118187756552864895539235,20.26699426444062316330364479,141.6153846153846
192.168.178.41:55933 => 51.178.75.191:443,192.168.178.41,55933,51.178.75.191,443,6,1679951978.886772,balkanweb,2.561707,43,43,8916,0,3480.491718998308549728755084,16.78568235945797079837780043,207.34883720930233
51.178.75.191:443 => 192.168.178.41:55933,51.178.75.191,443,192.168.178.41,55933,6,1679951978.941330,balkanweb,2.506958,66,66,84302,0,33627.20875259976433590032222,26.32672745215516175380680490,1277.3030303030303
51.178.75.191:443 => 192.168.178.41:55932,51.178.75.191,443,192.168.178.41,55932,6,1679951978.941346,balkanweb,2.510794,97,97,131971,0,52561.46063755130847054756384,38.63319730730597571923463255,1360.5257731958764
192.168.178.41:55935 => 51.178.75.191:443,192.168.178.41,55935,51.178.75.191,443,6,1679951979.153244,balkanweb,2.295217,39,39,5935,0,2585.812147609572428227919190,16.99185741478910272972010925,152.17948717948718
192.168.178.41:55936 => 51.178.75.191:443,192.168.178.41,55936,51.178.75.191,443,6,1679951979.154084,balkanweb,2.298120,46,46,7044,0,3065.114093258837658607905592,20.01636119958922945712147320,153.1304347826087
192.168.178.41:55937 => 51.178.75.191:443,192.168.178.41,55937,51.178.75.191,443,6,1679951979.154261,balkanweb,2.287618,49,49,9261,0,4048.315759012212703344701782,21.41966010059371800711482424,189.0
192.168.178.41:55938 => 51.178.75.191:443,192.168.178.41,55938,51.178.75.191,443,6,1679951979.154559,balkanweb,2.293997,17,17,3996,0,1741.937761906401795643150362,7.410646134236444075558947985,235.05882352941177
51.178.75.191:443 => 192.168.178.41:55936,51.178.75.191,443,192.168.178.41,55936,6,1679951979.210642,balkanweb,2.241493,85,85,113117,0,50465.02487404600415883520493,37.92115344549369549670688242,1330.7882352941176
51.178.75.191:443 => 192.168.178.41:55935,51.178.75.191,443,192.168.178.41,55935,6,1679951979.210643,balkanweb,2.237644,48,48,62538,0,27948.14546013574992268653995,21.45113342426230445951187946,1302.875
51.178.75.191:443 => 192.168.178.41:55937,51.178.75.191,443,192.168.178.41,55937,6,1679951979.210643,balkanweb,2.231152,84,84,113227,0,50748.22333933322337518913996,37.64871241403543998795241203,1347.9404761904761
51.178.75.191:443 => 192.168.178.41:55938,51.178.75.191,443,192.168.178.41,55938,6,1679951979.217598,balkanweb,2.230690,22,22,23494,0,10532.16717697214763145035841,9.862419251442378815523447902,1067.909090909091
192.168.178.41:55953 => 51.178.75.191:443,192.168.178.41,55953,51.178.75.191,443,6,1679951979.505676,balkanweb,1.942766,13,13,1946,0,1001.664636914584669486700920,6.691490380210483403559666990,149.69230769230768
192.168.178.41:55954 => 51.178.75.191:443,192.168.178.41,55954,51.178.75.191,443,6,1679951979.505712,balkanweb,1.939395,12,12,1897,0,978.1400900796382376978387590,6.187496616212788008631557780,158.08333333333334
192.168.178.41:55955 => 51.178.75.191:443,192.168.178.41,55955,51.178.75.191,443,6,1679951979.505745,balkanweb,1.942665,11,11,1839,0,946.6377373350526210128869362,5.662324693140608391050438444,167.1818181818182
51.178.75.191:443 => 192.168.178.41:55954,51.178.75.191,443,192.168.178.41,55954,6,1679951979.567367,balkanweb,1.877657,12,12,8814,0,4694.148079228527894072240031,6.390943606846191823107202221,734.5
51.178.75.191:443 => 192.168.178.41:55955,51.178.75.191,443,192.168.178.41,55955,6,1679951979.567373,balkanweb,1.880909,12,12,9101,0,4838.617923567806842329958547,6.379893976795262290732831838,758.4166666666666
51.178.75.191:443 => 192.168.178.41:55953,51.178.75.191,443,192.168.178.41,55953,6,1679951979.567373,balkanweb,1.880914,12,12,10405,0,5531.885030362898037868823349,6.379877017237364387739152348,867.0833333333334
