FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:65431 => 51.178.75.191:443,192.168.178.41,65431,51.178.75.191,443,6,1679953676.943905,balkanweb,2.435159,47,47,10359,0,4253.931673455408866525758688,19.30058776449504939923840702,220.40425531914894
192.168.178.41:65432 => 51.178.75.191:443,192.168.178.41,65432,51.178.75.191,443,6,1679953676.945269,balkanweb,2.450143,44,44,10250,0,4183.429293718774781716822243,17.95813550474400881907709060,232.95454545454547
51.178.75.191:443 => 192.168.178.41:65431,51.178.75.191,443,192.168.178.41,65431,6,1679953676.994394,balkanweb,2.384466,69,69,89254,0,37431.44167289447616363579938,28.93729665258384896240919350,1293.536231884058
51.178.75.191:443 => 192.168.178.41:65432,51.178.75.191,443,192.168.178.41,65432,6,1679953676.994400,balkanweb,2.400901,50,50,61245,0,25509.17343114105912738592720,20.82551508787742601631637456,1224.9
192.168.178.41:65434 => 51.178.75.191:443,192.168.178.41,65434,51.178.75.191,443,6,1679953677.164159,balkanweb,2.231339,33,33,5290,0,2370.773782020571504374727462,14.78932605041188273050397093,160.3030303030303
192.168.178.41:65435 => 51.178.75.191:443,192.168.178.41,65435,51.178.75.191,443,6,1679953677.164243,balkanweb,2.231379,33,33,5102,0,2286.478451217834352658154442,14.78906093496443230845141054,154.6060606060606
192.168.178.41:65436 => 51.178.75.191:443,192.168.178.41,65436,51.178.75.191,443,6,1679953677.164371,balkanweb,2.231106,44,44,7291,0,3267.885972248741207275674038,19.72116071580642067207922887,165.70454545454547
192.168.178.41:65437 => 51.178.75.191:443,192.168.178.41,65437,51.178.75.191,443,6,1679953677.164638,balkanweb,2.229282,43,43,6715,0,3012.180603440928514203227766,19.28872166015784454366921726,156.1627906976744
51.178.75.191:443 => 192.168.178.41:65434,51.178.75.191,443,192.168.178.41,65434,6,1679953677.215093,balkanweb,2.180215,44,44,56972,0,26131.36777794850507862756655,20.18149586164667246120222088,1294.8181818181818
51.178.75.191:443 => 192.168.178.41:65435,51.178.75.191,443,192.168.178.41,65435,6,1679953677.215094,balkanweb,2.180214,47,47,59956,0,27500.05274711565011508044623,21.55751683091659809541632152,1275.659574468085
51.178.75.191:443 => 192.168.178.41:65436,51.178.75.191,443,192.168.178.41,65436,6,1679953677.215094,balkanweb,2.180213,82,82,108803,0,49904.75701227357143545149029,37.61100406244710952553718375,1326.8658536585365
51.178.75.191:443 => 192.168.178.41:65437,51.178.75.191,443,192.168.178.41,65437,6,1679953677.215095,balkanweb,2.178732,82,82,111005,0,50949.35953572995669040524489,37.63657026196888832587027684,1353.719512195122
192.168.178.41:65451 => 51.178.75.191:443,192.168.178.41,65451,51.178.75.191,443,6,1679953677.452366,balkanweb,1.943067,12,12,1988,0,1023.124781595282097838108516,6.175803510635505620753170117,165.66666666666666
192.168.178.41:65452 => 51.178.75.191:443,192.168.178.41,65452,51.178.75.191,443,6,1679953677.452409,balkanweb,1.943045,13,13,2043,0,1051.442452439341343098075443,6.690529555414311042719031211,157.15384615384616
192.168.178.41:65453 => 51.178.75.191:443,192.168.178.41,65453,51.178.75.191,443,6,1679953677.452438,balkanweb,1.941528,12,12,1985,0,1022.390611930397089302858367,6.180698913433131018455566956,165.41666666666666
51.178.75.191:443 => 192.168.178.41:65453,51.178.75.191,443,192.168.178.41,65453,6,1679953677.508651,balkanweb,1.885182,12,12,9101,0,4827.650592887052815059766113,6.365433151812397954149785007,758.4166666666666
51.178.75.191:443 => 192.168.178.41:65451,51.178.75.191,443,192.168.178.41,65451,6,1679953677.508655,balkanweb,1.886652,13,13,10457,0,5542.622592825809953292923125,6.890512929782493008779573551,804.3846153846154
51.178.75.191:443 => 192.168.178.41:65452,51.178.75.191,443,192.168.178.41,65452,6,1679953677.508656,balkanweb,1.886651,11,11,8762,0,4644.208176286976234608308585,5.830437107869977012176602880,796.5454545454545
