FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:58536 => 188.40.137.224:443,192.168.178.41,58536,188.40.137.224,443,6,1679952449.250586,shqiperia,3.033561,58,58,9412,0,3102.624275562614366416234913,19.11944411205180973779660274,162.27586206896552
192.168.178.41:58537 => 188.40.137.224:443,192.168.178.41,58537,188.40.137.224,443,6,1679952449.250838,shqiperia,3.036874,78,78,9751,0,3210.867490715782083813816444,25.68430563796851630986336608,125.01282051282051
188.40.137.224:443 => 192.168.178.41:58536,188.40.137.224,443,192.168.178.41,58536,6,1679952449.293056,shqiperia,2.991021,68,68,82662,0,27636.71669306233557036209375,22.73471165866103915686315810,1215.6176470588234
188.40.137.224:443 => 192.168.178.41:58537,188.40.137.224,443,192.168.178.41,58537,6,1679952449.295003,shqiperia,2.992622,140,140,196268,0,65583.95948435853241739183900,46.78171850638002393887366998,1401.9142857142858
192.168.178.41:58539 => 188.40.137.224:443,192.168.178.41,58539,188.40.137.224,443,6,1679952449.485947,shqiperia,2.801747,101,101,9669,0,3451.061070110898664297668562,36.04893660990803238122499997,95.73267326732673
192.168.178.41:58540 => 188.40.137.224:443,192.168.178.41,58540,188.40.137.224,443,6,1679952449.486316,shqiperia,2.794321,84,84,7411,0,2652.164872969139909122824471,30.06097008897689277645624823,88.22619047619048
192.168.178.41:58541 => 188.40.137.224:443,192.168.178.41,58541,188.40.137.224,443,6,1679952449.500458,shqiperia,2.783669,61,61,6283,0,2257.093066740334429129325362,21.91352491980907212746917827,103.0
192.168.178.41:58542 => 188.40.137.224:443,192.168.178.41,58542,188.40.137.224,443,6,1679952449.500691,shqiperia,2.787030,78,78,7882,0,2828.100163973835947226976387,27.98678162775427605730831746,101.05128205128206
188.40.137.224:443 => 192.168.178.41:58540,188.40.137.224,443,192.168.178.41,58540,6,1679952449.529905,shqiperia,2.750241,129,129,181733,0,66078.93635503215899988401016,46.90498032717859998451044836,1408.7829457364342
188.40.137.224:443 => 192.168.178.41:58539,188.40.137.224,443,192.168.178.41,58539,6,1679952449.529922,shqiperia,2.757699,210,210,297450,0,107861.6629298556513963271554,76.15044281482496820719012481,1416.4285714285713
188.40.137.224:443 => 192.168.178.41:58541,188.40.137.224,443,192.168.178.41,58541,6,1679952449.545711,shqiperia,2.738360,103,103,140144,0,51178.07738938634803312931828,37.61375421785302151652814093,1360.621359223301
188.40.137.224:443 => 192.168.178.41:58542,188.40.137.224,443,192.168.178.41,58542,6,1679952449.545711,shqiperia,2.741914,111,111,152888,0,55759.58983396269904891254795,40.48267013480364446149660420,1377.3693693693695
