FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:51581 => 188.40.137.224:443,192.168.178.41,51581,188.40.137.224,443,6,1679953915.681482,shqiperia,2.481450,68,68,9480,0,3820.346974551169679018315904,27.40333272884805254992040944,139.41176470588235
192.168.178.41:51582 => 188.40.137.224:443,192.168.178.41,51582,188.40.137.224,443,6,1679953915.681712,shqiperia,0.861708,76,76,8347,0,9686.575963087263899139847837,88.19692981845358288422528281,109.82894736842105
188.40.137.224:443 => 192.168.178.41:51581,188.40.137.224,443,192.168.178.41,51581,6,1679953915.725076,shqiperia,2.437829,132,132,179286,0,73543.30430887482263932375897,54.14653775962136802868453858,1358.2272727272727
188.40.137.224:443 => 192.168.178.41:51582,188.40.137.224,443,192.168.178.41,51582,6,1679953915.725081,shqiperia,0.902541,141,141,196159,0,217340.8188658465377196160618,156.2255897516013122949539135,1391.1985815602836
192.168.178.41:51586 => 188.40.137.224:443,192.168.178.41,51586,188.40.137.224,443,6,1679953916.023677,shqiperia,2.139891,98,98,10152,0,4744.166875789467781302879446,45.79672516030022089910187014,103.59183673469387
192.168.178.41:51587 => 188.40.137.224:443,192.168.178.41,51587,188.40.137.224,443,6,1679953916.024122,shqiperia,2.138402,89,89,8599,0,4021.227065818307315462667917,41.61986380484118514666559421,96.61797752808988
192.168.178.41:51588 => 188.40.137.224:443,192.168.178.41,51588,188.40.137.224,443,6,1679953916.042201,shqiperia,2.121398,37,37,5075,0,2392.290367012696344580319205,17.44132878413197334964961785,137.16216216216216
192.168.178.41:51589 => 188.40.137.224:443,192.168.178.41,51589,188.40.137.224,443,6,1679953916.042825,shqiperia,2.120767,61,61,6500,0,3064.928867716255486812082610,28.76317860472178226085185218,106.55737704918033
188.40.137.224:443 => 192.168.178.41:51586,188.40.137.224,443,192.168.178.41,51586,6,1679953916.066354,shqiperia,2.097180,156,156,218305,0,104094.5460094031032147931985,74.38560352473321317197379338,1399.3910256410256
188.40.137.224:443 => 192.168.178.41:51587,188.40.137.224,443,192.168.178.41,51587,6,1679953916.070104,shqiperia,2.092325,168,168,235505,0,112556.6056898426391693451065,80.29345345488870036920650473,1401.8154761904761
188.40.137.224:443 => 192.168.178.41:51588,188.40.137.224,443,192.168.178.41,51588,6,1679953916.092049,shqiperia,2.071486,44,44,50777,0,24512.35489885039049262220454,21.24079042774124469100925616,1154.0227272727273
188.40.137.224:443 => 192.168.178.41:51589,188.40.137.224,443,192.168.178.41,51589,6,1679953916.092058,shqiperia,2.071477,109,109,148298,0,71590.46419535432930223217540,52.61945944849979024628320759,1360.532110091743
192.168.178.41:51608 => 188.40.137.224:443,192.168.178.41,51608,188.40.137.224,443,6,1679953916.543510,shqiperia,1.620073,21,21,3165,0,1953.615670404975578260979598,12.96237885576761047187379828,150.71428571428572
188.40.137.224:443 => 192.168.178.41:51608,188.40.137.224,443,192.168.178.41,51608,6,1679953916.627622,shqiperia,1.535913,21,21,22377,0,14569.18458272050565364053823,13.67264942740897433643702475,1065.5714285714287
