FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:61272 => 65.254.227.240:443,192.168.178.41,61272,65.254.227.240,443,6,1679949540.199604,tribuna-news,4.502227,135,135,12491,0,2774.404755690905856146302708,29.98516067714933076453053122,92.52592592592593
192.168.178.41:61273 => 65.254.227.240:443,192.168.178.41,61273,65.254.227.240,443,6,1679949540.199824,tribuna-news,4.500230,103,103,12595,0,2798.745841879192841254780311,22.88771907213631303288943010,122.28155339805825
65.254.227.240:443 => 192.168.178.41:61273,65.254.227.240,443,192.168.178.41,61273,6,1679949540.329542,tribuna-news,4.370432,302,302,432530,0,98967.33320641986879100281162,69.10072047797563261480787254,1432.2185430463576
65.254.227.240:443 => 192.168.178.41:61272,65.254.227.240,443,192.168.178.41,61272,6,1679949540.330941,tribuna-news,4.370806,408,408,593548,0,135798.2944106876397625518039,93.34662760140806981595614173,1454.7745098039215
192.168.178.41:61275 => 65.254.227.240:443,192.168.178.41,61275,65.254.227.240,443,6,1679949542.171598,tribuna-news,2.523609,91,91,10072,0,3991.109557780147400013235014,36.05946880043620069511560626,110.68131868131869
192.168.178.41:61276 => 65.254.227.240:443,192.168.178.41,61276,65.254.227.240,443,6,1679949542.172292,tribuna-news,2.527807,75,75,7986,0,3159.260180860326757541220512,29.66998667224198682889951646,106.48
192.168.178.41:61277 => 65.254.227.240:443,192.168.178.41,61277,65.254.227.240,443,6,1679949542.172628,tribuna-news,2.517116,148,148,15593,0,6194.788003413430290856678834,58.79744914417929090276332120,105.35810810810811
192.168.178.41:61278 => 65.254.227.240:443,192.168.178.41,61278,65.254.227.240,443,6,1679949542.172754,tribuna-news,2.522517,109,109,12862,0,5098.875448609464277148578186,43.21080888652088370464896768,118.0
65.254.227.240:443 => 192.168.178.41:61275,65.254.227.240,443,192.168.178.41,61275,6,1679949542.304168,tribuna-news,2.390888,311,311,448948,0,187774.5841712367957010115070,130.0771930763799893596019554,1443.5627009646303
65.254.227.240:443 => 192.168.178.41:61278,65.254.227.240,443,192.168.178.41,61278,6,1679949542.304168,tribuna-news,2.390895,357,357,515082,0,215434.8057944828191953222538,149.3164693556178753144742868,1442.8067226890757
65.254.227.240:443 => 192.168.178.41:61276,65.254.227.240,443,192.168.178.41,61276,6,1679949542.304168,tribuna-news,2.395813,169,169,236927,0,98892.10885824561432799638369,70.53972910239655599164041601,1401.9349112426034
65.254.227.240:443 => 192.168.178.41:61277,65.254.227.240,443,192.168.178.41,61277,6,1679949542.304169,tribuna-news,2.385442,422,422,614023,0,257404.2881780399607284520018,176.9064181816200100442601413,1455.0308056872038
