FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:52845 => 173.231.244.176:443,192.168.1.56,52845,173.231.244.176,443,6,1680593691.635391,bulevardionline,3.370342,65,65,6775,0,2010.181756035440913711427505,19.28587662617028182896572514,104.23076923076923
192.168.1.56:52846 => 173.231.244.176:443,192.168.1.56,52846,173.231.244.176,443,6,1680593691.635628,bulevardionline,0.630868,12,12,1586,0,2513.996588826822726782781818,19.02141176918150865157211968,132.16666666666666
173.231.244.176:443 => 192.168.1.56:52845,173.231.244.176,443,192.168.1.56,52845,6,1680593691.760950,bulevardionline,3.244674,212,212,291503,0,89840.45854837804969004590292,65.33784287728135399735073539,1375.0141509433963
173.231.244.176:443 => 192.168.1.56:52846,173.231.244.176,443,192.168.1.56,52846,6,1680593691.760965,bulevardionline,0.505265,9,9,6521,0,12906.09877984819847010974439,17.81243505883051468041522765,724.5555555555555
192.168.1.56:52856 => 173.231.244.176:443,192.168.1.56,52856,173.231.244.176,443,6,1680593692.843918,bulevardionline,0.644929,12,12,1590,0,2465.387662828001221839923464,18.60669934209812242898055445,132.5
192.168.1.56:52857 => 173.231.244.176:443,192.168.1.56,52857,173.231.244.176,443,6,1680593692.843962,bulevardionline,0.644967,12,12,1504,0,2331.902252363299207556355596,18.60560307736674899646028401,125.33333333333333
192.168.1.56:52858 => 173.231.244.176:443,192.168.1.56,52858,173.231.244.176,443,6,1680593692.843999,bulevardionline,2.163216,86,86,7283,0,3366.746547732635113645609130,39.75562310929652887182787110,84.68604651162791
192.168.1.56:52859 => 173.231.244.176:443,192.168.1.56,52859,173.231.244.176,443,6,1680593692.844034,bulevardionline,0.644744,12,12,1590,0,2466.095070291464519251051580,18.61203826635067561698906853,132.5
192.168.1.56:52860 => 173.231.244.176:443,192.168.1.56,52860,173.231.244.176,443,6,1680593692.844066,bulevardionline,0.644999,11,11,1452,0,2251.166280877954849542402391,17.05429000665117310259395751,132.0
192.168.1.56:52861 => 173.231.244.176:443,192.168.1.56,52861,173.231.244.176,443,6,1680593692.844095,bulevardionline,0.644937,11,11,1452,0,2251.382693193288646798059345,17.05592949388855035453075262,132.0
173.231.244.176:443 => 192.168.1.56:52858,173.231.244.176,443,192.168.1.56,52858,6,1680593692.967183,bulevardionline,2.039969,738,738,1056248,0,517776.4956232178037999597053,361.7702033707374965011723217,1431.230352303523
173.231.244.176:443 => 192.168.1.56:52859,173.231.244.176,443,192.168.1.56,52859,6,1680593692.967194,bulevardionline,0.521457,9,9,6298,0,12077.69768168803947401223878,17.25933298431126631726105892,699.7777777777778
173.231.244.176:443 => 192.168.1.56:52861,173.231.244.176,443,192.168.1.56,52861,6,1680593692.967194,bulevardionline,0.521458,9,9,5692,0,10915.54832795738103548128517,17.25929988608862075181510304,632.4444444444445
173.231.244.176:443 => 192.168.1.56:52856,173.231.244.176,443,192.168.1.56,52856,6,1680593692.967195,bulevardionline,0.521458,9,9,6298,0,12077.67452028734816610350210,17.25929988608862075181510304,699.7777777777778
173.231.244.176:443 => 192.168.1.56:52860,173.231.244.176,443,192.168.1.56,52860,6,1680593692.969418,bulevardionline,0.519236,9,9,5692,0,10962.25993575175835265659546,17.33315871780847244798126478,632.4444444444445
173.231.244.176:443 => 192.168.1.56:52857,173.231.244.176,443,192.168.1.56,52857,6,1680593692.969422,bulevardionline,0.519228,9,9,5692,0,10962.42883665749921036615899,17.33342577827081744435970325,632.4444444444445
