FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57327 => 173.231.244.176:443,192.168.1.134,57327,173.231.244.176,443,6,1680577529.852504,bulevardionline,4.697413,129,129,10810,0,2301.266675934179089639339781,27.46192425490370976535382348,83.7984496124031
192.168.1.134:57328 => 173.231.244.176:443,192.168.1.134,57328,173.231.244.176,443,6,1680577529.852947,bulevardionline,0.641250,12,12,1586,0,2473.294346978557504873294347,18.71345029239766081871345029,132.16666666666666
173.231.244.176:443 => 192.168.1.134:57327,173.231.244.176,443,192.168.1.134,57327,6,1680577530.002911,bulevardionline,4.546741,222,222,297507,0,65433.02114635515856302349309,48.82618121419275916530103650,1340.1216216216217
173.231.244.176:443 => 192.168.1.134:57328,173.231.244.176,443,192.168.1.134,57328,6,1680577530.002916,bulevardionline,0.491150,9,9,6521,0,13277.00295225491194136210934,18.32434083273948895449455360,724.5555555555555
192.168.1.134:57336 => 173.231.244.176:443,192.168.1.134,57336,173.231.244.176,443,6,1680577531.473327,bulevardionline,0.765594,10,10,1412,0,1844.319574082346517867172418,13.06175335752370055146722675,141.2
192.168.1.134:57337 => 173.231.244.176:443,192.168.1.134,57337,173.231.244.176,443,6,1680577531.473399,bulevardionline,3.076474,266,266,17941,0,5831.676133131630561480448071,86.46261921927505319401366629,67.44736842105263
192.168.1.134:57338 => 173.231.244.176:443,192.168.1.134,57338,173.231.244.176,443,6,1680577531.473457,bulevardionline,0.761300,12,12,1590,0,2088.532772888480231183501905,15.76251149349796400893208985,132.5
192.168.1.134:57339 => 173.231.244.176:443,192.168.1.134,57339,173.231.244.176,443,6,1680577531.473509,bulevardionline,0.759424,10,10,1412,0,1859.303893477161638294286196,13.16787459969661216922299006,141.2
192.168.1.134:57340 => 173.231.244.176:443,192.168.1.134,57340,173.231.244.176,443,6,1680577531.473560,bulevardionline,0.761185,10,10,1412,0,1855.002397577461458121218889,13.13741074771573270624092698,141.2
192.168.1.134:57341 => 173.231.244.176:443,192.168.1.134,57341,173.231.244.176,443,6,1680577531.473611,bulevardionline,0.753222,10,10,1400,0,1858.681769783675994593891310,13.27629835559768567567065221,140.0
173.231.244.176:443 => 192.168.1.134:57337,173.231.244.176,443,192.168.1.134,57337,6,1680577531.625361,bulevardionline,2.924277,726,726,1043542,0,356854.7028889534062607612070,248.2664945899447966112649383,1437.3856749311294
173.231.244.176:443 => 192.168.1.134:57338,173.231.244.176,443,192.168.1.134,57338,6,1680577531.626076,bulevardionline,0.608641,9,9,6360,0,10449.50964525886359939603149,14.78704195083801452744721437,706.6666666666666
173.231.244.176:443 => 192.168.1.134:57341,173.231.244.176,443,192.168.1.134,57341,6,1680577531.626077,bulevardionline,0.600653,9,9,5692,0,9476.353235561963396503472055,14.98369274772622462553254541,632.4444444444445
173.231.244.176:443 => 192.168.1.134:57339,173.231.244.176,443,192.168.1.134,57339,6,1680577531.634924,bulevardionline,0.597979,8,8,5640,0,9431.769343070576057018724738,13.37839623130578164116131168,705.0
173.231.244.176:443 => 192.168.1.134:57336,173.231.244.176,443,192.168.1.134,57336,6,1680577531.634931,bulevardionline,0.603949,8,8,5640,0,9338.536863211959950260700821,13.24615157902405666703645506,705.0
173.231.244.176:443 => 192.168.1.134:57340,173.231.244.176,443,192.168.1.134,57340,6,1680577531.634932,bulevardionline,0.599777,8,8,5640,0,9403.494965628892071553260629,13.33829073138849939227412855,705.0
