FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51341 => 173.231.244.176:443,192.168.1.134,51341,173.231.244.176,443,6,1680576415.113382,bulevardionline,4.190488,135,135,12140,0,2897.037290167636800296290074,32.21581830087569753212513674,89.92592592592592
192.168.1.134:51342 => 173.231.244.176:443,192.168.1.134,51342,173.231.244.176,443,6,1680576415.113640,bulevardionline,4.190319,14,14,1714,0,409.0380708485439891330469112,3.341034417666053586851024946,122.42857142857143
173.231.244.176:443 => 192.168.1.134:51341,173.231.244.176,443,192.168.1.134,51341,6,1680576415.232618,bulevardionline,4.071090,226,226,297726,0,73131.76569419983345983508102,55.51338830632582428784428740,1317.3716814159293
173.231.244.176:443 => 192.168.1.134:51342,173.231.244.176,443,192.168.1.134,51342,6,1680576415.232623,bulevardionline,4.071094,10,10,6573,0,1614.553729292421152643490914,2.456342201874975129535206016,657.3
192.168.1.134:51355 => 173.231.244.176:443,192.168.1.134,51355,173.231.244.176,443,6,1680576416.375931,bulevardionline,0.837122,12,12,1590,0,1899.364728199712825609648295,14.33482813735632321214828902,132.5
192.168.1.134:51356 => 173.231.244.176:443,192.168.1.134,51356,173.231.244.176,443,6,1680576416.375989,bulevardionline,0.739011,8,8,1320,0,1786.170977157308889854142902,10.82527864943823569608571456,165.0
192.168.1.134:51357 => 173.231.244.176:443,192.168.1.134,51357,173.231.244.176,443,6,1680576416.376024,bulevardionline,0.837063,10,10,1412,0,1686.850332651186350370282762,11.94653210092908180148925469,141.2
192.168.1.134:51358 => 173.231.244.176:443,192.168.1.134,51358,173.231.244.176,443,6,1680576416.376060,bulevardionline,0.837016,10,10,1412,0,1686.945052424326416699322355,11.94720292085217008993854359,141.2
192.168.1.134:51359 => 173.231.244.176:443,192.168.1.134,51359,173.231.244.176,443,6,1680576416.376093,bulevardionline,2.927837,300,300,22224,0,7590.586497813915187218414140,102.4647205428444274732507308,74.08
192.168.1.134:51360 => 173.231.244.176:443,192.168.1.134,51360,173.231.244.176,443,6,1680576416.376126,bulevardionline,0.832417,10,10,1412,0,1696.265213228466021236952153,12.01320972541406530621070930,141.2
173.231.244.176:443 => 192.168.1.134:51355,173.231.244.176,443,192.168.1.134,51355,6,1680576416.496704,bulevardionline,0.716285,9,9,6360,0,8879.147266800226166958682647,12.56483103792484834946983393,706.6666666666666
173.231.244.176:443 => 192.168.1.134:51356,173.231.244.176,443,192.168.1.134,51356,6,1680576416.496709,bulevardionline,0.618225,6,6,4515,0,7303.166322940676938008006794,9.705204415868009219944195075,752.5
173.231.244.176:443 => 192.168.1.134:51359,173.231.244.176,443,192.168.1.134,51359,6,1680576416.496709,bulevardionline,2.807008,712,712,1017034,0,362319.5943866209145111093378,253.6508624129322039694934963,1428.4185393258426
173.231.244.176:443 => 192.168.1.134:51360,173.231.244.176,443,192.168.1.134,51360,6,1680576416.496710,bulevardionline,0.711723,8,8,5640,0,7924.431274526747063113036954,11.24032804897410930938019426,705.0
173.231.244.176:443 => 192.168.1.134:51357,173.231.244.176,443,192.168.1.134,51357,6,1680576416.499669,bulevardionline,0.713326,8,8,5640,0,7906.623339118439535359709305,11.21506856612544614944639618,705.0
173.231.244.176:443 => 192.168.1.134:51358,173.231.244.176,443,192.168.1.134,51358,6,1680576416.500723,bulevardionline,0.712271,8,8,5640,0,7918.334454161407666464028439,11.23168007682469172548089140,705.0
