FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61331 => 173.231.244.176:443,192.168.1.134,61331,173.231.244.176,443,6,1680570865.442914,bulevardionline,0.631249,12,12,1586,0,2512.479227689865647311916534,19.00993110484135420412547188,132.16666666666666
192.168.1.134:61332 => 173.231.244.176:443,192.168.1.134,61332,173.231.244.176,443,6,1680570865.443174,bulevardionline,3.947106,119,119,9973,0,2526.661305776941384396568017,30.14867095031144337142199880,83.80672268907563
173.231.244.176:443 => 192.168.1.134:61331,173.231.244.176,443,192.168.1.134,61331,6,1680570865.566303,bulevardionline,0.507588,9,9,6459,0,12724.88711317052412586585971,17.73091562448284829428591692,717.6666666666666
173.231.244.176:443 => 192.168.1.134:61332,173.231.244.176,443,192.168.1.134,61332,6,1680570865.566310,bulevardionline,3.823870,216,216,297062,0,77686.21841223681767424101761,56.48727597957043518738869261,1375.287037037037
192.168.1.134:61344 => 173.231.244.176:443,192.168.1.134,61344,173.231.244.176,443,6,1680570866.785545,bulevardionline,0.621214,12,12,1590,0,2559.504454181650767690361132,19.31701474854076051087065005,132.5
192.168.1.134:61345 => 173.231.244.176:443,192.168.1.134,61345,173.231.244.176,443,6,1680570866.785596,bulevardionline,0.625676,11,11,1464,0,2339.869197476009947640631893,17.58098440726510206560584072,133.0909090909091
192.168.1.134:61346 => 173.231.244.176:443,192.168.1.134,61346,173.231.244.176,443,6,1680570866.785639,bulevardionline,0.625657,10,10,1412,0,2256.827622802909581447981881,15.98319846177698003858344109,141.2
192.168.1.134:61347 => 173.231.244.176:443,192.168.1.134,61347,173.231.244.176,443,6,1680570866.785678,bulevardionline,0.621144,10,10,1412,0,2273.224888270674754968252128,16.09932640418324897286297541,141.2
192.168.1.134:61348 => 173.231.244.176:443,192.168.1.134,61348,173.231.244.176,443,6,1680570866.785710,bulevardionline,2.602826,262,262,17391,0,6681.583786238496157637890508,100.6598212865554593353531892,66.37786259541984
192.168.1.134:61349 => 173.231.244.176:443,192.168.1.134,61349,173.231.244.176,443,6,1680570866.785743,bulevardionline,0.625563,10,10,1412,0,2257.166744196827497789990776,15.98560017136563383703959473,141.2
173.231.244.176:443 => 192.168.1.134:61344,173.231.244.176,443,192.168.1.134,61344,6,1680570866.904991,bulevardionline,0.501671,9,9,6298,0,12554.04438366977560991167518,17.94004437170974602877184450,699.7777777777778
173.231.244.176:443 => 192.168.1.134:61348,173.231.244.176,443,192.168.1.134,61348,6,1680570866.904998,bulevardionline,2.483434,727,727,1043662,0,420249.5415622078138577469746,292.7398110841681317079495569,1435.5735900962861
173.231.244.176:443 => 192.168.1.134:61347,173.231.244.176,443,192.168.1.134,61347,6,1680570866.904999,bulevardionline,0.501786,8,8,5640,0,11239.85125133024835288350014,15.94305142032659340834539027,705.0
173.231.244.176:443 => 192.168.1.134:61345,173.231.244.176,443,192.168.1.134,61345,6,1680570866.908107,bulevardionline,0.503127,8,8,5640,0,11209.89332713211574811131186,15.90055791082569609661178987,705.0
173.231.244.176:443 => 192.168.1.134:61349,173.231.244.176,443,192.168.1.134,61349,6,1680570866.908733,bulevardionline,0.502506,8,8,5640,0,11223.74658213036262253585032,15.92020791791540797522815648,705.0
173.231.244.176:443 => 192.168.1.134:61346,173.231.244.176,443,192.168.1.134,61346,6,1680570866.908739,bulevardionline,0.502499,8,8,5640,0,11223.90293314016545306557824,15.92042969239739780576677765,705.0
