FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:52537 => 144.91.119.216:443,192.168.1.56,52537,144.91.119.216,443,6,1680593645.488978,gazetaolle,1.359815,109,109,18493,0,13599.64406923000555222585425,80.15796266403885822703823682,169.6605504587156
192.168.1.56:52538 => 144.91.119.216:443,192.168.1.56,52538,144.91.119.216,443,6,1680593645.489205,gazetaolle,1.365079,89,89,16247,0,11901.87527608292267333978473,65.19769185519665894794367212,182.5505617977528
144.91.119.216:443 => 192.168.1.56:52537,144.91.119.216,443,192.168.1.56,52537,6,1680593645.531324,gazetaolle,1.317397,569,569,804139,0,610399.9022314457980396190366,431.9123240754305649701646504,1413.2495606326888
144.91.119.216:443 => 192.168.1.56:52538,144.91.119.216,443,192.168.1.56,52538,6,1680593645.534444,gazetaolle,1.319686,495,495,696879,0,528064.2516477404473488390420,375.0892257703726492514128361,1407.8363636363636
192.168.1.56:52540 => 144.91.119.216:443,192.168.1.56,52540,144.91.119.216,443,6,1680593645.645458,gazetaolle,1.208795,73,73,13976,0,11561.92737395505441369297524,60.39071968365190127358236922,191.45205479452054
192.168.1.56:52541 => 144.91.119.216:443,192.168.1.56,52541,144.91.119.216,443,6,1680593645.646011,gazetaolle,1.208225,85,85,16604,0,13742.47346313807444805396346,70.35113492933849241656148482,195.34117647058824
192.168.1.56:52542 => 144.91.119.216:443,192.168.1.56,52542,144.91.119.216,443,6,1680593645.646112,gazetaolle,1.208153,95,95,15791,0,13070.36443231941649774490483,78.63242486671803985091292245,166.22105263157894
192.168.1.56:52543 => 144.91.119.216:443,192.168.1.56,52543,144.91.119.216,443,6,1680593645.646430,gazetaolle,1.204827,88,88,15747,0,13069.92622177291843559282785,73.03953181660105558723368583,178.9431818181818
144.91.119.216:443 => 192.168.1.56:52542,144.91.119.216,443,192.168.1.56,52542,6,1680593645.691074,gazetaolle,1.163055,256,256,350223,0,301123.3346660304112875143480,220.1099690040453804850157559,1368.05859375
144.91.119.216:443 => 192.168.1.56:52540,144.91.119.216,443,192.168.1.56,52540,6,1680593645.691074,gazetaolle,1.163055,266,266,367759,0,316200.8675428075198507379273,228.7080146682659031602116839,1382.5526315789473
144.91.119.216:443 => 192.168.1.56:52541,144.91.119.216,443,192.168.1.56,52541,6,1680593645.691075,gazetaolle,1.163054,177,177,234245,0,201405.0938305530095765114947,152.1855391065247185427331835,1323.4180790960452
144.91.119.216:443 => 192.168.1.56:52543,144.91.119.216,443,192.168.1.56,52543,6,1680593645.691075,gazetaolle,1.160087,486,486,683999,0,589610.0895881084780710412236,418.9340971840905035570608066,1407.4053497942386
