FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:58289 => 144.91.119.216:443,192.168.1.56,58289,144.91.119.216,443,6,1680594522.332536,gazetaolle,1.347642,99,99,16616,0,12329.68399619483512683635565,73.46164634227784530312946613,167.83838383838383
192.168.1.56:58290 => 144.91.119.216:443,192.168.1.56,58290,144.91.119.216,443,6,1680594522.332765,gazetaolle,1.347448,80,80,15557,0,11545.52902969168383492349983,59.37149337117276510856077563,194.4625
144.91.119.216:443 => 192.168.1.56:58289,144.91.119.216,443,192.168.1.56,58289,6,1680594522.375599,gazetaolle,1.304379,568,568,795408,0,609798.2258224028445720147288,435.4562592620703031864205112,1400.3661971830986
144.91.119.216:443 => 192.168.1.56:58290,144.91.119.216,443,192.168.1.56,58290,6,1680594522.379933,gazetaolle,1.300045,266,266,363979,0,279974.1547407974339349791738,204.6083020203146814148741005,1368.342105263158
192.168.1.56:58292 => 144.91.119.216:443,192.168.1.56,58292,144.91.119.216,443,6,1680594522.493373,gazetaolle,1.186775,77,77,15775,0,13292.32584103979271555265320,64.88171725895810073518569232,204.87012987012986
192.168.1.56:58293 => 144.91.119.216:443,192.168.1.56,58293,144.91.119.216,443,6,1680594522.494026,gazetaolle,1.183368,89,89,15595,0,13178.48716544642072457595608,75.20906429783465498475537618,175.22471910112358
192.168.1.56:58294 => 144.91.119.216:443,192.168.1.56,58294,144.91.119.216,443,6,1680594522.494278,gazetaolle,1.185837,89,89,16039,0,13525.46766545486437006097803,75.05247348497306122173620826,180.2134831460674
192.168.1.56:58295 => 144.91.119.216:443,192.168.1.56,58295,144.91.119.216,443,6,1680594522.494340,gazetaolle,1.185745,71,71,13889,0,11713.31104073810136243458754,59.87796701651704202842938406,195.61971830985917
144.91.119.216:443 => 192.168.1.56:58292,144.91.119.216,443,192.168.1.56,58292,6,1680594522.537495,gazetaolle,1.142483,162,162,216296,0,189320.9789554855520826130454,141.7964206031949709536159400,1335.1604938271605
144.91.119.216:443 => 192.168.1.56:58295,144.91.119.216,443,192.168.1.56,58295,6,1680594522.537495,gazetaolle,1.142482,292,292,404876,0,354382.8261626879023039312654,255.5838954136695370255286298,1386.5616438356165
144.91.119.216:443 => 192.168.1.56:58294,144.91.119.216,443,192.168.1.56,58294,6,1680594522.539505,gazetaolle,1.140473,220,220,300710,0,263671.3012934107164308142323,192.9024185579141286115497693,1366.8636363636363
144.91.119.216:443 => 192.168.1.56:58293,144.91.119.216,443,192.168.1.56,58293,6,1680594522.539505,gazetaolle,1.137789,642,642,907135,0,797278.7573091320095377965510,564.2522471213906972206621790,1412.9828660436137
