FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57011 => 144.91.119.216:443,192.168.1.134,57011,144.91.119.216,443,6,1680577459.556687,gazetaolle,3.366406,225,225,26239,0,7794.365860802291821010300005,66.83685806168358777877653498,116.61777777777777
192.168.1.134:57012 => 144.91.119.216:443,192.168.1.134,57012,144.91.119.216,443,6,1680577459.557012,gazetaolle,3.396637,367,367,31617,0,9308.324675259675967729256909,108.0480487022899414921288321,86.14986376021798
144.91.119.216:443 => 192.168.1.134:57011,144.91.119.216,443,192.168.1.134,57011,6,1680577459.605261,gazetaolle,3.317786,280,280,386952,0,116629.5837043136597719081339,84.39362876327767975390817853,1381.9714285714285
144.91.119.216:443 => 192.168.1.134:57012,144.91.119.216,443,192.168.1.134,57012,6,1680577459.619907,gazetaolle,3.333640,814,814,1184657,0,355364.4064746043364010511033,244.1775356667186618831067542,1455.3525798525798
192.168.1.134:57014 => 144.91.119.216:443,192.168.1.134,57014,144.91.119.216,443,6,1680577459.706135,gazetaolle,3.226998,183,183,20343,0,6304.001427952542889707399881,56.70905281007301522963447762,111.1639344262295
192.168.1.134:57015 => 144.91.119.216:443,192.168.1.134,57015,144.91.119.216,443,6,1680577459.706247,gazetaolle,3.238555,192,192,20672,0,6383.093694564396775722505871,59.28569994951452113674154059,107.66666666666667
192.168.1.134:57016 => 144.91.119.216:443,192.168.1.134,57016,144.91.119.216,443,6,1680577459.706421,gazetaolle,3.251367,135,135,16649,0,5120.615421144398648322382555,41.52099716826799312412286893,123.32592592592593
192.168.1.134:57017 => 144.91.119.216:443,192.168.1.134,57017,144.91.119.216,443,6,1680577459.706590,gazetaolle,3.248955,113,113,15482,0,4765.224510650347573296644613,34.78041401004322928449301391,137.00884955752213
144.91.119.216:443 => 192.168.1.134:57014,144.91.119.216,443,192.168.1.134,57014,6,1680577459.798093,gazetaolle,3.134878,239,239,334853,0,106815.3210427965617800756521,76.23901153410116757334735195,1401.0585774058577
144.91.119.216:443 => 192.168.1.134:57015,144.91.119.216,443,192.168.1.134,57015,6,1680577459.799669,gazetaolle,3.145094,275,275,389378,0,123804.8846870713562138365340,87.43776815573715761754656618,1415.92
144.91.119.216:443 => 192.168.1.134:57016,144.91.119.216,443,192.168.1.134,57016,6,1680577459.803974,gazetaolle,3.153760,195,195,266018,0,84349.47491248541423570595099,61.83095733346862158185784587,1364.1948717948717
144.91.119.216:443 => 192.168.1.134:57017,144.91.119.216,443,192.168.1.134,57017,6,1680577459.803978,gazetaolle,3.151507,137,137,181540,0,57604.18745698486470123658301,43.47126628625606733540493485,1325.109489051095
