FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:63584 => 95.217.115.180:443,192.168.1.56,63584,95.217.115.180,443,6,1680592894.483413,kohajone,4.457677,162,162,25638,0,5751.426135182069046276793944,36.34179865432152217399331535,158.25925925925927
192.168.1.56:63585 => 95.217.115.180:443,192.168.1.56,63585,95.217.115.180,443,6,1680592894.484307,kohajone,4.492575,159,159,26822,0,5970.295431907091144833419587,35.39172968731740705497404050,168.69182389937106
95.217.115.180:443 => 192.168.1.56:63584,95.217.115.180,443,192.168.1.56,63584,6,1680592894.540180,kohajone,4.400815,534,534,752225,0,170928.5666404972715281146788,121.3411606713756429206862820,1408.6610486891386
95.217.115.180:443 => 192.168.1.56:63585,95.217.115.180,443,192.168.1.56,63585,6,1680592894.540184,kohajone,4.434860,502,502,708195,0,159688.2426953725709492520621,113.1941030832991345837298133,1410.7470119521913
192.168.1.56:63586 => 95.217.115.180:443,192.168.1.56,63586,95.217.115.180,443,6,1680592894.728983,kohajone,4.244611,140,140,23096,0,5441.252449282160367581387317,32.98299891321018580972437757,164.97142857142856
192.168.1.56:63587 => 95.217.115.180:443,192.168.1.56,63587,95.217.115.180,443,6,1680592894.729617,kohajone,4.147577,157,157,18632,0,4492.261385382356976133294210,37.85342622933823772289218500,118.67515923566879
192.168.1.56:63588 => 95.217.115.180:443,192.168.1.56,63588,95.217.115.180,443,6,1680592894.729884,kohajone,4.245252,157,157,22621,0,5328.541156096269432297540876,36.98249244096699088770230837,144.0828025477707
192.168.1.56:63589 => 95.217.115.180:443,192.168.1.56,63589,95.217.115.180,443,6,1680592894.730180,kohajone,4.243348,192,192,14613,0,3443.743006701312265692090302,45.24729058281338226325062191,76.109375
95.217.115.180:443 => 192.168.1.56:63586,95.217.115.180,443,192.168.1.56,63586,6,1680592894.781581,kohajone,4.191791,528,528,745495,0,177846.4145755358509047803194,125.9604784685114310327017735,1411.9223484848485
95.217.115.180:443 => 192.168.1.56:63589,95.217.115.180,443,192.168.1.56,63589,6,1680592894.781593,kohajone,4.191780,836,836,1205597,0,287609.7982241434426425050933,199.4379476022119481461336234,1442.1016746411483
95.217.115.180:443 => 192.168.1.56:63587,95.217.115.180,443,192.168.1.56,63587,6,1680592894.781594,kohajone,4.095504,628,628,888118,0,216851.9430087237126370771461,153.3388808801065754056155238,1414.2006369426751
95.217.115.180:443 => 192.168.1.56:63588,95.217.115.180,443,192.168.1.56,63588,6,1680592894.781594,kohajone,4.193453,464,464,650554,0,155135.6364313609810340070581,110.6486706778399567134769365,1402.0560344827586
192.168.1.56:63595 => 95.217.115.180:443,192.168.1.56,63595,95.217.115.180,443,6,1680592895.256936,kohajone,0.345689,10,10,1796,0,5195.421318005490484221366604,28.92773562363858844221250893,179.6
95.217.115.180:443 => 192.168.1.56:63595,95.217.115.180,443,192.168.1.56,63595,6,1680592895.361144,kohajone,0.241370,10,10,6067,0,25135.68380494676223225752993,41.43016944939304801756639185,606.7
