FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55045 => 95.217.115.180:443,192.168.1.134,55045,95.217.115.180,443,6,1680569940.026919,kohajone,3.670327,518,518,46117,0,12564.82051871672469510209853,141.1318392066973869085779006,89.02895752895753
192.168.1.134:55046 => 95.217.115.180:443,192.168.1.134,55046,95.217.115.180,443,6,1680569940.034156,kohajone,3.668108,392,392,39406,0,10742.86798534830490269097856,106.8670824305064082082643150,100.52551020408163
95.217.115.180:443 => 192.168.1.134:55045,95.217.115.180,443,192.168.1.134,55045,6,1680569940.085224,kohajone,3.611948,1320,1320,1935212,0,535780.6923023255041323961475,365.4537662225480544016691270,1466.069696969697
95.217.115.180:443 => 192.168.1.134:55046,95.217.115.180,443,192.168.1.134,55046,6,1680569940.092538,kohajone,3.609552,914,914,1330434,0,368587.0157847843721326081464,253.2170197298722944010780285,1455.617067833698
192.168.1.134:55047 => 95.217.115.180:443,192.168.1.134,55047,95.217.115.180,443,6,1680569940.291771,kohajone,3.412602,321,321,35944,0,10532.72546871859068241769770,94.06312250886566907011131096,111.97507788161994
192.168.1.134:55048 => 95.217.115.180:443,192.168.1.134,55048,95.217.115.180,443,6,1680569940.292202,kohajone,3.413289,467,467,40258,0,11794.48912764198988131388816,136.8181832830445942315461714,86.20556745182013
192.168.1.134:55049 => 95.217.115.180:443,192.168.1.134,55049,95.217.115.180,443,6,1680569940.292459,kohajone,3.409749,290,290,35941,0,10540.65856460402217289307805,85.05024856668335411198888833,123.93448275862069
192.168.1.134:55050 => 95.217.115.180:443,192.168.1.134,55050,95.217.115.180,443,6,1680569940.293539,kohajone,3.411993,282,282,33702,0,9877.511472034086822569682880,82.64964201274738840320012380,119.51063829787235
95.217.115.180:443 => 192.168.1.134:55049,95.217.115.180,443,192.168.1.134,55049,6,1680569940.353895,kohajone,3.348189,602,602,867336,0,259046.3083177204154245772864,179.7986911730490721999265872,1440.7574750830565
95.217.115.180:443 => 192.168.1.134:55047,95.217.115.180,443,192.168.1.134,55047,6,1680569940.359898,kohajone,3.344374,731,731,1060980,0,317243.2269835849698628203664,218.5760324652685375499271314,1451.4090287277702
95.217.115.180:443 => 192.168.1.134:55048,95.217.115.180,443,192.168.1.134,55048,6,1680569940.360711,kohajone,3.344646,1258,1258,1844127,0,551366.8711128173205774243373,376.1235120248899285604515396,1465.9197138314785
95.217.115.180:443 => 192.168.1.134:55050,95.217.115.180,443,192.168.1.134,55050,6,1680569940.360712,kohajone,3.344653,582,582,839830,0,251096.3020678079310469576366,174.0090825565462246756240483,1443.0068728522338
192.168.1.134:55056 => 95.217.115.180:443,192.168.1.134,55056,95.217.115.180,443,6,1680569940.683449,kohajone,0.309402,11,11,1848,0,5972.812069734520138848488374,35.55245279603881035028862128,168.0
95.217.115.180:443 => 192.168.1.134:55056,95.217.115.180,443,192.168.1.134,55056,6,1680569940.746959,kohajone,0.245834,10,10,6067,0,24679.25510710479429208327571,40.67785578886565731347169228,606.7
