FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61468 => 95.217.115.180:443,192.168.1.134,61468,95.217.115.180,443,6,1680575585.839797,kohajone,4.413190,538,538,43044,0,9753.488972829177986898366035,121.9072824872711122793262923,80.00743494423791
192.168.1.134:61469 => 95.217.115.180:443,192.168.1.134,61469,95.217.115.180,443,6,1680575585.840831,kohajone,4.412129,304,304,37223,0,8436.516702027524580536969794,68.90097728330246010486094128,122.44407894736842
95.217.115.180:443 => 192.168.1.134:61468,95.217.115.180,443,192.168.1.134,61468,6,1680575585.900335,kohajone,4.190414,1400,1400,2062348,0,492158.5313527493942126004734,334.0958673773044859052112751,1473.1057142857144
95.217.115.180:443 => 192.168.1.134:61469,95.217.115.180,443,192.168.1.134,61469,6,1680575585.901669,kohajone,4.147866,577,577,824828,0,198855.9900440371024522007220,139.1076760917541694934214365,1429.5112651646448
192.168.1.134:61471 => 95.217.115.180:443,192.168.1.134,61471,95.217.115.180,443,6,1680575586.096295,kohajone,4.156632,359,359,38601,0,9286.605116834976009423013632,86.36800178606140740869049750,107.52367688022284
192.168.1.134:61472 => 95.217.115.180:443,192.168.1.134,61472,95.217.115.180,443,6,1680575586.096583,kohajone,4.156387,376,376,39518,0,9507.776826363858803330873665,90.46318352934892732558349355,105.10106382978724
192.168.1.134:61473 => 95.217.115.180:443,192.168.1.134,61473,95.217.115.180,443,6,1680575586.097158,kohajone,4.155791,353,353,36830,0,8862.332104766577530005719729,84.94171145757811208503988771,104.3342776203966
192.168.1.134:61474 => 95.217.115.180:443,192.168.1.134,61474,95.217.115.180,443,6,1680575586.097903,kohajone,4.147209,615,615,51129,0,12328.53227315044889225500813,148.2925022587479917216614837,83.13658536585366
95.217.115.180:443 => 192.168.1.134:61471,95.217.115.180,443,192.168.1.134,61471,6,1680575586.157739,kohajone,3.875724,756,756,1100818,0,284028.9969048363608966995586,195.0603293732990274849292674,1456.1084656084656
95.217.115.180:443 => 192.168.1.134:61472,95.217.115.180,443,192.168.1.134,61472,6,1680575586.159089,kohajone,3.903157,839,839,1216929,0,311780.6944481095687414059952,214.9542024571391824617867024,1450.4517282479142
95.217.115.180:443 => 192.168.1.134:61473,95.217.115.180,443,192.168.1.134,61473,6,1680575586.159094,kohajone,3.887572,779,779,1133481,0,291565.2751897585433787464258,200.3821408323755804394105112,1455.0462130937099
95.217.115.180:443 => 192.168.1.134:61474,95.217.115.180,443,192.168.1.134,61474,6,1680575586.163069,kohajone,4.048826,1038,1038,1517545,0,374811.1180870701778737836598,256.3706121231191461426102282,1461.9894026974953
192.168.1.134:61480 => 95.217.115.180:443,192.168.1.134,61480,95.217.115.180,443,6,1680575586.681000,kohajone,0.619325,12,12,1900,0,3067.856133693940984135954467,19.37593347596173253138497558,158.33333333333334
95.217.115.180:443 => 192.168.1.134:61480,95.217.115.180,443,192.168.1.134,61480,6,1680575586.759025,kohajone,0.541202,11,11,6119,0,11306.31446299163713363956526,20.32512814069423246772923973,556.2727272727273
