FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51680 => 178.33.109.222:443,192.168.1.134,51680,178.33.109.222,443,6,1680569253.750169,lecanton27,3.191689,103,103,9216,0,2887.499377288952651715126380,32.27131465503061231843077443,89.47572815533981
192.168.1.134:51681 => 178.33.109.222:443,192.168.1.134,51681,178.33.109.222,443,6,1680569253.750449,lecanton27,0.834255,56,56,6376,0,7642.747121683418139537671336,67.12575891064482682153538187,113.85714285714286
178.33.109.222:443 => 192.168.1.134:51680,178.33.109.222,443,192.168.1.134,51680,6,1680569253.792202,lecanton27,3.149631,175,175,241968,0,76824.23750591735984310543045,55.56206425451108399682375491,1382.6742857142858
178.33.109.222:443 => 192.168.1.134:51681,178.33.109.222,443,192.168.1.134,51681,6,1680569253.793363,lecanton27,0.791221,55,55,69000,0,87206.98768106508800954474161,69.51281626751564986268059114,1254.5454545454545
192.168.1.134:51683 => 178.33.109.222:443,192.168.1.134,51683,178.33.109.222,443,6,1680569253.935782,lecanton27,3.005188,111,111,9076,0,3020.110555479390973210328272,36.93612512761264852648153793,81.76576576576576
192.168.1.134:51684 => 178.33.109.222:443,192.168.1.134,51684,178.33.109.222,443,6,1680569253.935947,lecanton27,3.040572,156,156,11261,0,3703.579458075651555036355002,51.30613581918139086987579969,72.18589743589743
192.168.1.134:51685 => 178.33.109.222:443,192.168.1.134,51685,178.33.109.222,443,6,1680569253.936877,lecanton27,3.004991,79,79,6575,0,2188.026519879760039214759711,26.28959620844122328486175167,83.22784810126582
192.168.1.134:51686 => 178.33.109.222:443,192.168.1.134,51686,178.33.109.222,443,6,1680569253.937057,lecanton27,3.003968,30,30,4234,0,1409.469075569380233078381661,9.986790804695655879157168119,141.13333333333333
178.33.109.222:443 => 192.168.1.134:51683,178.33.109.222,443,192.168.1.134,51683,6,1680569253.977999,lecanton27,2.962915,159,159,219497,0,74081.43669325647208914194299,53.66336867578043919585948298,1380.4842767295597
178.33.109.222:443 => 192.168.1.134:51684,178.33.109.222,443,192.168.1.134,51684,6,1680569253.978003,lecanton27,2.998405,291,291,418096,0,139439.4686508326927149601205,97.05159910018826676182837208,1436.7560137457044
178.33.109.222:443 => 192.168.1.134:51685,178.33.109.222,443,192.168.1.134,51685,6,1680569253.978003,lecanton27,2.963831,114,114,153565,0,51813.00823157595692871827037,38.46373156904020505892542456,1347.061403508772
178.33.109.222:443 => 192.168.1.134:51686,178.33.109.222,443,192.168.1.134,51686,6,1680569253.978003,lecanton27,2.962996,29,29,31304,0,10564.98220044846499961525429,9.787390870591792901509148173,1079.448275862069
