FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58118 => 178.33.109.222:443,192.168.1.134,58118,178.33.109.222,443,6,1680570395.475745,lecanton27,4.678366,97,97,9445,0,2018.867271179723860852271926,20.73373481253924981499951051,97.37113402061856
192.168.1.134:58119 => 178.33.109.222:443,192.168.1.134,58119,178.33.109.222,443,6,1680570395.475958,lecanton27,4.676852,61,61,6987,0,1493.953625216277957908439266,13.04296137658407835013808434,114.54098360655738
178.33.109.222:443 => 192.168.1.134:58118,178.33.109.222,443,192.168.1.134,58118,6,1680570395.518087,lecanton27,4.635957,143,143,197254,0,42548.71216450023155952481872,30.84584261674558241157111682,1379.3986013986014
178.33.109.222:443 => 192.168.1.134:58119,178.33.109.222,443,192.168.1.134,58119,6,1680570395.518094,lecanton27,4.634669,84,84,114055,0,24609.09290393769220628269246,18.12427165780339437401031228,1357.797619047619
192.168.1.134:58121 => 178.33.109.222:443,192.168.1.134,58121,178.33.109.222,443,6,1680570397.153487,lecanton27,3.000608,84,84,7595,0,2531.153686186266250039991895,27.99432648316607834145613156,90.41666666666667
192.168.1.134:58122 => 178.33.109.222:443,192.168.1.134,58122,178.33.109.222,443,6,1680570397.153832,lecanton27,2.999002,80,80,7433,0,2478.491178065236368631964900,26.67554072988280768068844236,92.9125
192.168.1.134:58123 => 178.33.109.222:443,192.168.1.134,58123,178.33.109.222,443,6,1680570397.154593,lecanton27,3.030232,124,124,9557,0,3153.883927039249800015312359,40.92095918728334992172216517,77.0725806451613
192.168.1.134:58124 => 178.33.109.222:443,192.168.1.134,58124,178.33.109.222,443,6,1680570397.155144,lecanton27,0.667737,56,56,5992,0,8973.592896604501472885282679,83.86535417387384554098395027,107.0
178.33.109.222:443 => 192.168.1.134:58122,178.33.109.222,443,192.168.1.134,58122,6,1680570397.195850,lecanton27,2.956913,128,128,177822,0,60137.71795111996869708374917,43.28838893805803552556331553,1389.234375
178.33.109.222:443 => 192.168.1.134:58121,178.33.109.222,443,192.168.1.134,58121,6,1680570397.195856,lecanton27,2.958188,133,133,181506,0,61357.15512333901699283480293,44.95995521582806772253825653,1364.7067669172932
178.33.109.222:443 => 192.168.1.134:58123,178.33.109.222,443,192.168.1.134,58123,6,1680570397.196963,lecanton27,2.987765,273,273,392232,0,131279.4011577215744879533698,91.37264811656873950929875676,1436.7472527472528
178.33.109.222:443 => 192.168.1.134:58124,178.33.109.222,443,192.168.1.134,58124,6,1680570397.196963,lecanton27,0.625871,74,74,95972,0,153341.5032810275599923945989,118.2352273871133188788104897,1296.918918918919
