FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:55719 => 178.33.109.222:443,192.168.1.56,55719,178.33.109.222,443,6,1680594034.229796,lecanton27,3.929654,31,31,6101,0,1552.553990758473901264589707,7.888735242339401891362445650,196.80645161290323
192.168.1.56:55721 => 178.33.109.222:443,192.168.1.56,55721,178.33.109.222,443,6,1680594034.230014,lecanton27,3.929415,32,32,4744,0,1207.304395183506959687383491,8.143705869703250992832266381,148.25
178.33.109.222:443 => 192.168.1.56:55719,178.33.109.222,443,192.168.1.56,55719,6,1680594034.268910,lecanton27,3.890463,58,58,71486,0,18374.67674156006624404344676,14.90825128011755927250818219,1232.5172413793102
178.33.109.222:443 => 192.168.1.56:55721,178.33.109.222,443,192.168.1.56,55721,6,1680594034.268923,lecanton27,3.890448,100,100,132817,0,34139.25594173216040928962423,25.70398062125493002348315670,1328.17
192.168.1.56:55723 => 178.33.109.222:443,192.168.1.56,55723,178.33.109.222,443,6,1680594035.777868,lecanton27,2.381591,37,37,4571,0,1919.305203958194333115971634,15.53583297887840523414809680,123.54054054054055
192.168.1.56:55724 => 178.33.109.222:443,192.168.1.56,55724,178.33.109.222,443,6,1680594035.778019,lecanton27,2.379755,32,32,4995,0,2098.955564753514542463404846,13.44676237679929236412992094,156.09375
192.168.1.56:55725 => 178.33.109.222:443,192.168.1.56,55725,178.33.109.222,443,6,1680594035.778985,lecanton27,2.391232,55,55,6041,0,2526.312796081685089527072237,23.00069587559885448170650108,109.83636363636364
192.168.1.56:55726 => 178.33.109.222:443,192.168.1.56,55726,178.33.109.222,443,6,1680594035.779335,lecanton27,2.375106,45,45,6809,0,2866.819417743881746751513406,18.94652280782415605871906349,151.3111111111111
178.33.109.222:443 => 192.168.1.56:55724,178.33.109.222,443,192.168.1.56,55724,6,1680594035.818478,lecanton27,2.339256,102,102,138864,0,59362.46396290102494126337605,43.60360730078281299695287733,1361.4117647058824
178.33.109.222:443 => 192.168.1.56:55723,178.33.109.222,443,192.168.1.56,55723,6,1680594035.818487,lecanton27,2.340886,128,128,173782,0,74237.70316025641573318820310,54.68015101974209765020594766,1357.671875
178.33.109.222:443 => 192.168.1.56:55726,178.33.109.222,443,192.168.1.56,55726,6,1680594035.818490,lecanton27,2.375021,121,121,158230,0,66622.56881097051352388042043,50.94691794304134573967977546,1307.685950413223
178.33.109.222:443 => 192.168.1.56:55725,178.33.109.222,443,192.168.1.56,55725,6,1680594035.818490,lecanton27,2.351646,278,278,393553,0,167352.1439876580063495951346,118.2150714860995234827010528,1415.658273381295
