FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:54419 => 178.33.109.222:443,192.168.1.134,54419,178.33.109.222,443,6,1680576965.885512,lecanton27,0.742062,52,52,6204,0,8360.487398627068897208050001,70.07500720964016483797849775,119.3076923076923
192.168.1.134:54420 => 178.33.109.222:443,192.168.1.134,54420,178.33.109.222,443,6,1680576965.885720,lecanton27,3.218701,57,57,6851,0,2128.498422189572750000699040,17.70900745362803192965112323,120.19298245614036
178.33.109.222:443 => 192.168.1.134:54420,178.33.109.222,443,192.168.1.134,54420,6,1680576965.931571,lecanton27,3.172792,74,74,97072,0,30595.13513649807488168149693,23.32330641277461617401960166,1311.7837837837837
178.33.109.222:443 => 192.168.1.134:54419,178.33.109.222,443,192.168.1.134,54419,6,1680576965.931577,lecanton27,0.695820,57,57,69120,0,99336.03518151246011899629214,81.91773734586530999396395620,1212.6315789473683
192.168.1.134:54422 => 178.33.109.222:443,192.168.1.134,54422,178.33.109.222,443,6,1680576966.076492,lecanton27,3.027911,121,121,9039,0,2985.226448201416752341796044,39.96154444433802710845860397,74.70247933884298
192.168.1.134:54423 => 178.33.109.222:443,192.168.1.134,54423,178.33.109.222,443,6,1680576966.076863,lecanton27,3.026474,79,79,7404,0,2446.411236309976560181914664,26.10298320752135983986645846,93.72151898734177
192.168.1.134:54424 => 178.33.109.222:443,192.168.1.134,54424,178.33.109.222,443,6,1680576966.077628,lecanton27,3.064347,212,212,14121,0,4608.159585060047050807235604,69.18276552883860737703660845,66.60849056603773
192.168.1.134:54425 => 178.33.109.222:443,192.168.1.134,54425,178.33.109.222,443,6,1680576966.077712,lecanton27,3.027175,85,85,6823,0,2253.916605415940604689190417,28.07898453178293293251959335,80.27058823529411
178.33.109.222:443 => 192.168.1.134:54422,178.33.109.222,443,192.168.1.134,54422,6,1680576966.121393,lecanton27,2.982968,169,169,238084,0,79814.46666541511675619718348,56.65498255428821227716824317,1408.7810650887575
178.33.109.222:443 => 192.168.1.134:54423,178.33.109.222,443,192.168.1.134,54423,6,1680576966.121398,lecanton27,2.981922,110,110,150567,0,50493.27245984301400237833183,36.88895953683563822259603035,1368.790909090909
178.33.109.222:443 => 192.168.1.134:54424,178.33.109.222,443,192.168.1.134,54424,6,1680576966.121398,lecanton27,3.020429,291,291,419255,0,138806.4410717815250747493154,96.34392995167242798953393707,1440.7388316151203
178.33.109.222:443 => 192.168.1.134:54425,178.33.109.222,443,192.168.1.134,54425,6,1680576966.124457,lecanton27,2.980404,124,124,169506,0,56873.49768689077051299085627,41.60509783237440293329360718,1366.983870967742
