FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:49968 => 178.33.109.222:443,192.168.1.56,49968,178.33.109.222,443,6,1680593296.168732,lecanton27,3.868848,61,61,8080,0,2088.476983329404515245881978,15.76696732464030636509886147,132.45901639344262
192.168.1.56:49969 => 178.33.109.222:443,192.168.1.56,49969,178.33.109.222,443,6,1680593296.168954,lecanton27,3.854354,41,41,6617,0,1716.759799437207895278949469,10.63732080654760823733367511,161.390243902439
178.33.109.222:443 => 192.168.1.56:49968,178.33.109.222,443,192.168.1.56,49968,6,1680593296.207833,lecanton27,3.829675,313,313,437811,0,114320.6668973215742850241861,81.73017292590102293275539047,1398.7571884984025
178.33.109.222:443 => 192.168.1.56:49969,178.33.109.222,443,192.168.1.56,49969,6,1680593296.207838,lecanton27,3.815355,169,169,232464,0,60928.53744933302405673915009,44.29469865844724802803408857,1375.526627218935
192.168.1.56:49972 => 178.33.109.222:443,192.168.1.56,49972,178.33.109.222,443,6,1680593297.740651,lecanton27,2.288745,35,35,5069,0,2214.750878756698540029579529,15.29222346744613314283592100,144.82857142857142
192.168.1.56:49973 => 178.33.109.222:443,192.168.1.56,49973,178.33.109.222,443,6,1680593297.741207,lecanton27,0.390812,30,30,4051,0,10365.59778103026519144755023,76.76325189605232183249234926,135.03333333333333
192.168.1.56:49974 => 178.33.109.222:443,192.168.1.56,49974,178.33.109.222,443,6,1680593297.742099,lecanton27,2.281199,44,44,4779,0,2094.950944656735339617455557,19.28810244086552729507596663,108.61363636363636
192.168.1.56:49975 => 178.33.109.222:443,192.168.1.56,49975,178.33.109.222,443,6,1680593297.742557,lecanton27,2.280722,26,26,4729,0,2073.466209384572078490934011,11.39989880397523240447542489,181.8846153846154
178.33.109.222:443 => 192.168.1.56:49973,178.33.109.222,443,192.168.1.56,49973,6,1680593297.781162,lecanton27,0.350789,64,64,82921,0,236384.2651850542633891028510,182.4458577663495719649133810,1295.640625
178.33.109.222:443 => 192.168.1.56:49975,178.33.109.222,443,192.168.1.56,49975,6,1680593297.781163,lecanton27,2.242029,47,47,57442,0,25620.54282081097077691680170,20.96315435705782574623254204,1222.1702127659576
178.33.109.222:443 => 192.168.1.56:49972,178.33.109.222,443,192.168.1.56,49972,6,1680593297.781163,lecanton27,2.248146,115,115,153578,0,68313.17894834232296301040947,51.15326139850347797696412955,1335.4608695652173
178.33.109.222:443 => 192.168.1.56:49974,178.33.109.222,443,192.168.1.56,49974,6,1680593297.781164,lecanton27,2.242028,137,137,186174,0,83038.21361731432435277347116,61.10539208252528514362889313,1358.934306569343
