FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:53299 => 5.9.72.90:443,192.168.1.134,53299,5.9.72.90,443,6,1680569470.613563,rtv21,4.915766,132,132,11730,0,2386.199831318252333410500012,26.85237661841511577239437353,88.86363636363636
192.168.1.134:53300 => 5.9.72.90:443,192.168.1.134,53300,5.9.72.90,443,6,1680569470.613798,rtv21,4.907807,177,177,11064,0,2254.367378342302376601198865,36.06498788562793932198230289,62.50847457627118
5.9.72.90:443 => 192.168.1.134:53299,5.9.72.90,443,192.168.1.134,53299,6,1680569470.649801,rtv21,4.879477,267,267,388159,0,79549.30415698239790862832226,54.71897910370312228134285703,1453.7790262172284
5.9.72.90:443 => 192.168.1.134:53300,5.9.72.90,443,192.168.1.134,53300,6,1680569470.649806,rtv21,4.871014,384,384,342986,0,70413.67567409988967389541479,78.83368842709136126482083607,893.1927083333334
192.168.1.134:53302 => 5.9.72.90:443,192.168.1.134,53302,5.9.72.90,443,6,1680569471.347806,rtv21,4.240732,83,83,7306,0,1722.815778030773932424873819,19.57209274247936441161573049,88.02409638554217
192.168.1.134:53303 => 5.9.72.90:443,192.168.1.134,53303,5.9.72.90,443,6,1680569471.347940,rtv21,4.229424,69,69,6665,0,1575.864704035348548643976106,16.31427825632993996345601671,96.59420289855072
192.168.1.134:53304 => 5.9.72.90:443,192.168.1.134,53304,5.9.72.90,443,6,1680569471.348240,rtv21,4.241441,82,82,7954,0,1875.306057540350083851219432,19.33305213959123797784762301,97.0
192.168.1.134:53305 => 5.9.72.90:443,192.168.1.134,53305,5.9.72.90,443,6,1680569471.348490,rtv21,4.223590,44,44,5367,0,1270.719932569212447230910197,10.41767785225365151446991777,121.97727272727273
5.9.72.90:443 => 192.168.1.134:53303,5.9.72.90,443,192.168.1.134,53303,6,1680569471.384132,rtv21,4.193184,85,85,118710,0,28310.22917191327640284805055,20.27099216251898318795454719,1396.5882352941176
5.9.72.90:443 => 192.168.1.134:53305,5.9.72.90,443,192.168.1.134,53305,6,1680569471.384136,rtv21,4.187908,53,53,69021,0,16481.02107305127046725954820,12.65548335827816656908413461,1302.2830188679245
5.9.72.90:443 => 192.168.1.134:53302,5.9.72.90,443,192.168.1.134,53302,6,1680569471.384375,rtv21,4.205235,109,109,152238,0,36202.01962553816849712322855,25.92007343228143016977648098,1396.6788990825687
5.9.72.90:443 => 192.168.1.134:53304,5.9.72.90,443,192.168.1.134,53304,6,1680569471.385536,rtv21,4.204075,103,103,142085,0,33796.97079619179010840672443,24.50003865297360299233481800,1379.4660194174758
