FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55796 => 5.9.72.90:443,192.168.1.134,55796,5.9.72.90,443,6,1680577164.129026,rtv21,4.803623,186,186,11540,0,2402.353390347244153007011583,38.72077388254656953720139986,62.043010752688176
192.168.1.134:55797 => 5.9.72.90:443,192.168.1.134,55797,5.9.72.90,443,6,1680577164.129276,rtv21,4.803306,42,42,5203,0,1083.212270881763518709821943,8.743977585438029557142518091,123.88095238095238
5.9.72.90:443 => 192.168.1.134:55796,5.9.72.90,443,192.168.1.134,55796,6,1680577164.178509,rtv21,3.590127,426,426,348655,0,97114.94885835515011028857754,118.6587549688353643199808809,818.4389671361503
5.9.72.90:443 => 192.168.1.134:55797,5.9.72.90,443,192.168.1.134,55797,6,1680577164.181196,rtv21,0.886957,50,50,65112,0,73410.54865117474691557764356,56.37251862266152699623544321,1302.24
192.168.1.134:55799 => 5.9.72.90:443,192.168.1.134,55799,5.9.72.90,443,6,1680577164.763829,rtv21,4.168803,102,102,11501,0,2758.825494992207595321726644,24.46745504644858488155952680,112.75490196078431
192.168.1.134:55800 => 5.9.72.90:443,192.168.1.134,55800,5.9.72.90,443,6,1680577164.764000,rtv21,4.168612,89,89,6407,0,1536.962422983957250039101744,21.35003209701454584883409634,71.98876404494382
192.168.1.134:55801 => 5.9.72.90:443,192.168.1.134,55801,5.9.72.90,443,6,1680577164.764201,rtv21,4.168479,167,167,12431,0,2982.142887129814016095559076,40.06257438264652406789142994,74.437125748503
192.168.1.134:55802 => 5.9.72.90:443,192.168.1.134,55802,5.9.72.90,443,6,1680577164.764261,rtv21,4.168404,91,91,7720,0,1852.027778497477691701668072,21.83089738902467227264919619,84.83516483516483
5.9.72.90:443 => 192.168.1.134:55799,5.9.72.90,443,192.168.1.134,55799,6,1680577164.802267,rtv21,2.966087,137,137,190691,0,64290.42708457304185615593878,46.18880026108472205973729024,1391.905109489051
5.9.72.90:443 => 192.168.1.134:55801,5.9.72.90,443,192.168.1.134,55801,6,1680577164.802274,rtv21,3.143348,318,318,463058,0,147313.6286532703346877278621,101.1660178892060312762061344,1456.1572327044025
5.9.72.90:443 => 192.168.1.134:55800,5.9.72.90,443,192.168.1.134,55800,6,1680577164.802274,rtv21,2.894162,134,134,191197,0,66062.99163626638729967430987,46.30010344963412552579986884,1426.8432835820895
5.9.72.90:443 => 192.168.1.134:55802,5.9.72.90,443,192.168.1.134,55802,6,1680577164.802275,rtv21,2.978250,119,119,166971,0,56063.46008562075044069503903,39.95635020565768488206161336,1403.1176470588234
