FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61811 => 5.9.72.90:443,192.168.1.134,61811,5.9.72.90,443,6,1680578351.939252,rtv21,4.338592,208,208,12338,0,2843.779733148450004056615602,47.94182075659568818639779910,59.31730769230769
192.168.1.134:61812 => 5.9.72.90:443,192.168.1.134,61812,5.9.72.90,443,6,1680578351.943447,rtv21,4.335881,59,59,7226,0,1666.558653247171682064152591,13.60738452000873640212911747,122.47457627118644
5.9.72.90:443 => 192.168.1.134:61811,5.9.72.90,443,192.168.1.134,61811,6,1680578351.982505,rtv21,4.295155,451,451,345943,0,80542.61138422245530138027615,105.0020313585889217036404973,767.0576496674057
5.9.72.90:443 => 192.168.1.134:61812,5.9.72.90,443,192.168.1.134,61812,6,1680578351.982511,rtv21,4.296778,69,69,89825,0,20905.19919809680649081707270,16.05854433252078650560955209,1301.8115942028985
192.168.1.134:61814 => 5.9.72.90:443,192.168.1.134,61814,5.9.72.90,443,6,1680578352.603793,rtv21,3.675158,151,151,12188,0,3316.320005833762793327524966,41.08666892688695288746769527,80.71523178807946
192.168.1.134:61815 => 5.9.72.90:443,192.168.1.134,61815,5.9.72.90,443,6,1680578352.603866,rtv21,3.673916,81,81,7254,0,1974.459949547022849733091339,22.04731953588487053051838964,89.55555555555556
192.168.1.134:61816 => 5.9.72.90:443,192.168.1.134,61816,5.9.72.90,443,6,1680578352.604053,rtv21,3.673757,99,99,6915,0,1882.269295437885521551915383,26.94789012991332850811852825,69.84848484848484
192.168.1.134:61817 => 5.9.72.90:443,192.168.1.134,61817,5.9.72.90,443,6,1680578352.604192,rtv21,3.674738,94,94,9769,0,2658.420818028387329926650553,25.58005495902020769916113747,103.92553191489361
5.9.72.90:443 => 192.168.1.134:61815,5.9.72.90,443,192.168.1.134,61815,6,1680578352.642832,rtv21,3.634834,120,120,165729,0,45594.65439136972967678854110,33.01388729168924908262660688,1381.075
5.9.72.90:443 => 192.168.1.134:61814,5.9.72.90,443,192.168.1.134,61814,6,1680578352.642847,rtv21,3.636048,299,299,430734,0,118462.1325131021372655146467,82.23213774955666151821978148,1440.5819397993312
5.9.72.90:443 => 192.168.1.134:61816,5.9.72.90,443,192.168.1.134,61816,6,1680578352.642847,rtv21,3.634819,154,154,218215,0,60034.62620834765087339974838,42.36799686586869937677777078,1416.9805194805194
5.9.72.90:443 => 192.168.1.134:61817,5.9.72.90,443,192.168.1.134,61817,6,1680578352.642848,rtv21,3.636046,138,138,191816,0,52754.00806260426848285197712,37.95331522208464909409836949,1389.9710144927535
