FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:57230 => 5.9.72.90:443,192.168.1.56,57230,5.9.72.90,443,6,1680594238.621167,rtv21,2.145277,82,82,6112,0,2849.049330226353053708215769,38.22350213981690942475027700,74.53658536585365
192.168.1.56:57231 => 5.9.72.90:443,192.168.1.56,57231,5.9.72.90,443,6,1680594238.621424,rtv21,2.145123,61,61,9843,0,4588.548069271552260639599687,28.43659780814433484699944945,161.36065573770492
5.9.72.90:443 => 192.168.1.56:57230,5.9.72.90,443,192.168.1.56,57230,6,1680594238.656593,rtv21,2.109607,576,576,365190,0,173108.0717877784819637022441,273.0366366816188986858689794,634.0104166666666
5.9.72.90:443 => 192.168.1.56:57231,5.9.72.90,443,192.168.1.56,57231,6,1680594238.656599,rtv21,2.109601,161,161,215399,0,102104.1419680783238157357718,76.31774918574649898250901474,1337.8819875776398
192.168.1.56:57233 => 5.9.72.90:443,192.168.1.56,57233,5.9.72.90,443,6,1680594239.221060,rtv21,1.545334,64,64,7075,0,4578.298283736719699430673240,41.41499507549824180403718549,110.546875
192.168.1.56:57234 => 5.9.72.90:443,192.168.1.56,57234,5.9.72.90,443,6,1680594239.221259,rtv21,1.545212,31,31,4213,0,2726.486721563125318726491899,20.06197207891214927142683334,135.90322580645162
192.168.1.56:57235 => 5.9.72.90:443,192.168.1.56,57235,5.9.72.90,443,6,1680594239.221514,rtv21,1.544982,42,42,4540,0,2938.545562343121149631516743,27.18478273533283882919024299,108.0952380952381
192.168.1.56:57236 => 5.9.72.90:443,192.168.1.56,57236,5.9.72.90,443,6,1680594239.221604,rtv21,1.544918,52,52,5067,0,3279.785723255214839881469437,33.65874434759644201180904100,97.4423076923077
5.9.72.90:443 => 192.168.1.56:57233,5.9.72.90,443,192.168.1.56,57233,6,1680594239.257994,rtv21,1.508205,328,328,463602,0,307386.5953235800173053397913,217.4770671095772789508057592,1413.4207317073171
5.9.72.90:443 => 192.168.1.56:57234,5.9.72.90,443,192.168.1.56,57234,6,1680594239.257999,rtv21,1.508201,40,40,46702,0,30965.36867433452172488945439,26.52166388962744355692643089,1167.55
5.9.72.90:443 => 192.168.1.56:57235,5.9.72.90,443,192.168.1.56,57235,6,1680594239.258000,rtv21,1.508199,121,121,163222,0,108223.1190976787545940555590,80.22813965531073817181950127,1348.9421487603306
5.9.72.90:443 => 192.168.1.56:57236,5.9.72.90,443,192.168.1.56,57236,6,1680594239.258000,rtv21,1.508199,143,143,195566,0,129668.5649572768580273558065,94.81507413809450874851395605,1367.5944055944055
