FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:50529 => 138.201.56.69:443,192.168.1.56,50529,138.201.56.69,443,6,1680593359.061077,telesport,1.409923,80,80,8585,0,6088.985001308582099873539193,56.74068725738923331274119225,107.3125
192.168.1.56:50530 => 138.201.56.69:443,192.168.1.56,50530,138.201.56.69,443,6,1680593359.061440,telesport,1.409493,53,53,5841,0,4144.043283648801377516596393,37.60217326371964954774518213,110.20754716981132
138.201.56.69:443 => 192.168.1.56:50529,138.201.56.69,443,192.168.1.56,50529,6,1680593359.095271,telesport,1.375271,538,538,767953,0,558401.2169237917472265466224,391.1956261711328167321204330,1427.421933085502
138.201.56.69:443 => 192.168.1.56:50530,138.201.56.69,443,192.168.1.56,50530,6,1680593359.096941,telesport,1.373603,244,244,345404,0,251458.3908159781246837696190,177.6350226375452004691311827,1415.5901639344263
192.168.1.56:50532 => 138.201.56.69:443,192.168.1.56,50532,138.201.56.69,443,6,1680593359.580021,telesport,0.890890,54,54,6065,0,6807.798942630403304560607931,60.61354375961117534151242016,112.31481481481481
192.168.1.56:50533 => 138.201.56.69:443,192.168.1.56,50533,138.201.56.69,443,6,1680593359.580551,telesport,0.890432,21,21,3577,0,4017.151225472579601811255660,23.58405807518148494214044419,170.33333333333334
192.168.1.56:50534 => 138.201.56.69:443,192.168.1.56,50534,138.201.56.69,443,6,1680593359.580742,telesport,0.890133,52,52,7243,0,8136.986270591024037980841065,58.41823637591236365801515054,139.28846153846155
138.201.56.69:443 => 192.168.1.56:50532,138.201.56.69,443,192.168.1.56,50532,6,1680593359.613839,telesport,0.856705,109,109,150087,0,175190.9933991280545812152375,127.2316608400791404275684162,1376.9449541284403
138.201.56.69:443 => 192.168.1.56:50534,138.201.56.69,443,192.168.1.56,50534,6,1680593359.613850,telesport,0.856694,130,130,179066,0,209019.7900300457339493448069,151.7461310572970045313729290,1377.4307692307693
138.201.56.69:443 => 192.168.1.56:50533,138.201.56.69,443,192.168.1.56,50533,6,1680593359.613851,telesport,0.856694,39,39,47428,0,55361.65772142678716087657904,45.52383931718910135941187869,1216.1025641025642
192.168.1.56:50540 => 138.201.56.69:443,192.168.1.56,50540,138.201.56.69,443,6,1680593359.680405,telesport,0.790549,74,74,7151,0,9045.612605923225505313396134,93.60583594438801389920169401,96.63513513513513
138.201.56.69:443 => 192.168.1.56:50540,138.201.56.69,443,192.168.1.56,50540,6,1680593359.714209,telesport,0.756336,523,523,750006,0,991630.7038141778257282477629,691.4916121935224556281864145,1434.0458891013384
