FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:52451 => 138.201.56.69:443,192.168.1.134,52451,138.201.56.69,443,6,1680569322.533556,telesport,1.929641,176,176,13707,0,7103.393843725335438042620363,91.20867560338943876088868344,77.88068181818181
192.168.1.134:52452 => 138.201.56.69:443,192.168.1.134,52452,138.201.56.69,443,6,1680569322.533846,telesport,1.930586,142,142,11338,0,5872.828250075365717973713681,73.55279692279960592276127559,79.84507042253522
138.201.56.69:443 => 192.168.1.134:52451,138.201.56.69,443,192.168.1.134,52451,6,1680569322.568496,telesport,1.894602,391,391,567698,0,299639.7132484817391726600099,206.3757981887488770728627965,1451.9130434782608
138.201.56.69:443 => 192.168.1.134:52452,138.201.56.69,443,192.168.1.134,52452,6,1680569322.569355,telesport,1.895035,304,304,439754,0,232055.8723189809159197587380,160.4192007007786135876118383,1446.5592105263158
192.168.1.134:52454 => 138.201.56.69:443,192.168.1.134,52454,138.201.56.69,443,6,1680569323.140518,telesport,1.323931,27,27,4016,0,3033.390712960116501539732811,20.39381206422389082210477736,148.74074074074073
192.168.1.134:52455 => 138.201.56.69:443,192.168.1.134,52455,138.201.56.69,443,6,1680569323.140996,telesport,1.322187,79,79,8132,0,6150.415939651501640842029153,59.74949080576348126248405105,102.9367088607595
192.168.1.134:52456 => 138.201.56.69:443,192.168.1.134,52456,138.201.56.69,443,6,1680569323.141146,telesport,1.323273,63,63,7188,0,5431.985690027681362802686974,47.60922349356481995778648850,114.0952380952381
138.201.56.69:443 => 192.168.1.134:52455,138.201.56.69,443,192.168.1.134,52455,6,1680569323.194072,telesport,1.269026,101,101,136746,0,107756.6574680108996978785305,79.58859786954719603853664149,1353.920792079208
138.201.56.69:443 => 192.168.1.134:52454,138.201.56.69,443,192.168.1.134,52454,6,1680569323.197180,telesport,1.267211,29,29,33507,0,26441.53183645028333876520958,22.88490235643472160516283397,1155.4137931034484
138.201.56.69:443 => 192.168.1.134:52456,138.201.56.69,443,192.168.1.134,52456,6,1680569323.197181,telesport,1.267207,82,82,108880,0,85921.24254364125198172042926,64.70923850641607882532214547,1327.8048780487804
192.168.1.134:52462 => 138.201.56.69:443,192.168.1.134,52462,138.201.56.69,443,6,1680569323.332564,telesport,1.131877,206,206,14139,0,12491.63999268471750905796301,181.9985740500072004290218814,68.63592233009709
138.201.56.69:443 => 192.168.1.134:52462,138.201.56.69,443,192.168.1.134,52462,6,1680569323.375683,telesport,1.088708,523,523,766676,0,704207.1887044092630898275754,480.3859253353516278010265379,1465.9196940726576
