FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:59624 => 51.178.75.191:443,192.168.1.134,59624,51.178.75.191,443,6,1680570599.398848,balkanweb,1.849281,99,99,12715,0,6875.645183182004249219020798,53.53431955446468113823696885,128.43434343434345
192.168.1.134:59625 => 51.178.75.191:443,192.168.1.134,59625,51.178.75.191,443,6,1680570599.399350,balkanweb,1.852122,62,62,9552,0,5157.327649042557671686854322,33.47511664998310046530412143,154.06451612903226
51.178.75.191:443 => 192.168.1.134:59625,51.178.75.191,443,192.168.1.134,59625,6,1680570599.442926,balkanweb,1.808389,68,68,87449,0,48357.40540337283626476383123,37.60252910186912218554746794,1286.014705882353
51.178.75.191:443 => 192.168.1.134:59624,51.178.75.191,443,192.168.1.134,59624,6,1680570599.442931,balkanweb,1.805149,166,166,231608,0,128304.0901332798566766510687,91.95916791356281392837931938,1395.2289156626507
192.168.1.134:59627 => 51.178.75.191:443,192.168.1.134,59627,51.178.75.191,443,6,1680570599.605494,balkanweb,1.646044,49,49,6776,0,4116.536374483306643078799838,29.76834155101564721234669304,138.28571428571428
192.168.1.134:59628 => 51.178.75.191:443,192.168.1.134,59628,51.178.75.191,443,6,1680570599.605670,balkanweb,1.647182,27,27,6551,0,3977.095427220550006010264804,16.39163128300333539341736372,242.62962962962962
192.168.1.134:59629 => 51.178.75.191:443,192.168.1.134,59629,51.178.75.191,443,6,1680570599.605963,balkanweb,1.646941,35,35,5388,0,3271.519744787457474190028665,21.25152024268021744555512310,153.94285714285715
192.168.1.134:59630 => 51.178.75.191:443,192.168.1.134,59630,51.178.75.191,443,6,1680570599.606143,balkanweb,1.646793,42,42,7287,0,4424.964157608151115531824583,25.50411618217954533447737512,173.5
51.178.75.191:443 => 192.168.1.134:59627,51.178.75.191,443,192.168.1.134,59627,6,1680570599.654854,balkanweb,1.596462,60,60,77701,0,48670.74819193942605586603377,37.58310564235165008625322745,1295.0166666666667
51.178.75.191:443 => 192.168.1.134:59628,51.178.75.191,443,192.168.1.134,59628,6,1680570599.654878,balkanweb,1.597893,21,21,21434,0,13413.91444858948627974463872,13.14230677523463711274784982,1020.6666666666666
51.178.75.191:443 => 192.168.1.134:59629,51.178.75.191,443,192.168.1.134,59629,6,1680570599.654879,balkanweb,1.597898,35,35,41587,0,26026.06674518648874959478014,21.90377608583276279211814521,1188.2
51.178.75.191:443 => 192.168.1.134:59630,51.178.75.191,443,192.168.1.134,59630,6,1680570599.654881,balkanweb,1.597896,45,45,56688,0,35476.65179711320386307995013,28.16203307349164150858378768,1259.7333333333333
192.168.1.134:59638 => 51.178.75.191:443,192.168.1.134,59638,51.178.75.191,443,6,1680570599.824740,balkanweb,1.426696,14,14,1998,0,1400.438495657098639093401818,9.812882351951642115769582308,142.71428571428572
192.168.1.134:59641 => 51.178.75.191:443,192.168.1.134,59641,51.178.75.191,443,6,1680570599.865460,balkanweb,1.386044,13,13,1949,0,1406.160266196455523778465907,9.379211626759323657834816211,149.92307692307693
192.168.1.134:59642 => 51.178.75.191:443,192.168.1.134,59642,51.178.75.191,443,6,1680570599.865922,balkanweb,1.385823,13,13,1943,0,1402.054952183648272542741750,9.380707348629659054583449690,149.46153846153845
51.178.75.191:443 => 192.168.1.134:59638,51.178.75.191,443,192.168.1.134,59638,6,1680570599.866393,balkanweb,1.384917,13,13,10457,0,7550.632998222998201336253364,9.386844121344456021552194103,804.3846153846154
51.178.75.191:443 => 192.168.1.134:59641,51.178.75.191,443,192.168.1.134,59641,6,1680570599.960166,balkanweb,1.291150,12,12,8814,0,6826.472524493668435115981877,9.294040196723850830654842582,734.5
51.178.75.191:443 => 192.168.1.134:59642,51.178.75.191,443,192.168.1.134,59642,6,1680570599.960404,balkanweb,1.291287,12,12,9101,0,7048.007143260948185802226771,9.293054139010150338383333837,758.4166666666666
