FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61635 => 51.178.75.191:443,192.168.1.134,61635,51.178.75.191,443,6,1680578325.334602,balkanweb,1.947219,53,53,10845,0,5569.481398856523072135183562,27.21830466937719896940200358,204.62264150943398
192.168.1.134:61636 => 51.178.75.191:443,192.168.1.134,61636,51.178.75.191,443,6,1680578325.335231,balkanweb,1.956090,66,66,9022,0,4612.262216973656631341093712,33.74077879852154041991932887,136.6969696969697
51.178.75.191:443 => 192.168.1.134:61635,51.178.75.191,443,192.168.1.134,61635,6,1680578325.379657,balkanweb,1.902106,55,55,68507,0,36016.39445961476384596862635,28.91531807375614187642539375,1245.581818181818
51.178.75.191:443 => 192.168.1.134:61636,51.178.75.191,443,192.168.1.134,61636,6,1680578325.379663,balkanweb,1.911594,90,90,122736,0,64206.10234181525993490249499,47.08112705940696612355970985,1363.7333333333333
192.168.1.134:61637 => 51.178.75.191:443,192.168.1.134,61637,51.178.75.191,443,6,1680578325.539462,balkanweb,1.753341,37,37,7082,0,4039.145836434555514300983095,21.10256932336607653616723729,191.40540540540542
192.168.1.134:61638 => 51.178.75.191:443,192.168.1.134,61638,51.178.75.191,443,6,1680578325.539667,balkanweb,1.751336,32,32,6242,0,3564.136179465276794401531174,18.27176509818789769638721525,195.0625
192.168.1.134:61639 => 51.178.75.191:443,192.168.1.134,61639,51.178.75.191,443,6,1680578325.540004,balkanweb,1.752800,53,53,7926,0,4521.907804655408489274303971,30.23733455043359196713829302,149.54716981132074
192.168.1.134:61640 => 51.178.75.191:443,192.168.1.134,61640,51.178.75.191,443,6,1680578325.540060,balkanweb,1.750963,43,43,6804,0,3885.861665837599081191321576,24.55791470179552623327848732,158.2325581395349
51.178.75.191:443 => 192.168.1.134:61637,51.178.75.191,443,192.168.1.134,61637,6,1680578325.602505,balkanweb,1.690136,37,37,43685,0,25847.03242815962739093185400,21.89172942295767914534688333,1180.6756756756756
51.178.75.191:443 => 192.168.1.134:61638,51.178.75.191,443,192.168.1.134,61638,6,1680578325.602505,balkanweb,1.688297,32,32,38010,0,22513.81125477330114310456039,18.95401105374232140435006400,1187.8125
51.178.75.191:443 => 192.168.1.134:61640,51.178.75.191,443,192.168.1.134,61640,6,1680578325.603668,balkanweb,1.687134,44,44,52996,0,31411.84991826375379786075084,26.07973047783993446874996295,1204.4545454545455
51.178.75.191:443 => 192.168.1.134:61639,51.178.75.191,443,192.168.1.134,61639,6,1680578325.609727,balkanweb,1.682914,66,66,87282,0,51863.61275739580275640941843,39.21769026818958069158614166,1322.4545454545455
192.168.1.134:61651 => 51.178.75.191:443,192.168.1.134,61651,51.178.75.191,443,6,1680578325.847732,balkanweb,1.443581,12,12,1988,0,1377.130898785727991709505736,8.312661360879645825208284121,165.66666666666666
192.168.1.134:61652 => 51.178.75.191:443,192.168.1.134,61652,51.178.75.191,443,6,1680578325.847789,balkanweb,1.443192,14,14,2089,0,1447.485850808485634621034485,9.700718961856773041979168399,149.21428571428572
192.168.1.134:61653 => 51.178.75.191:443,192.168.1.134,61653,51.178.75.191,443,6,1680578325.847820,balkanweb,1.444980,14,14,2095,0,1449.847056706667220307547509,9.688715414746224861243754239,149.64285714285714
51.178.75.191:443 => 192.168.1.134:61651,51.178.75.191,443,192.168.1.134,61651,6,1680578325.952099,balkanweb,1.339157,12,12,10405,0,7769.813397532925564366239358,8.960861198500250530744341403,867.0833333333334
51.178.75.191:443 => 192.168.1.134:61652,51.178.75.191,443,192.168.1.134,61652,6,1680578325.952099,balkanweb,1.338696,12,12,9101,0,6798.406807818952174354745215,8.963947005145305580953405403,758.4166666666666
51.178.75.191:443 => 192.168.1.134:61653,51.178.75.191,443,192.168.1.134,61653,6,1680578325.953405,balkanweb,1.339230,12,12,8814,0,6581.393785981496830268139155,8.960372751506462668847024036,734.5
