FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:49475 => 51.178.75.191:443,192.168.1.134,49475,51.178.75.191,443,6,1680576136.834950,balkanweb,2.558552,176,176,27636,0,10801.42205434949143109071068,68.78890872649842567202073673,157.02272727272728
192.168.1.134:49476 => 51.178.75.191:443,192.168.1.134,49476,51.178.75.191,443,6,1680576136.835293,balkanweb,2.576448,239,239,30578,0,11868.27756663437414611123531,92.76337034552996994311548302,127.94142259414225
51.178.75.191:443 => 192.168.1.134:49475,51.178.75.191,443,192.168.1.134,49475,6,1680576136.879610,balkanweb,2.513637,271,271,378738,0,150673.3072436473524220084284,107.8119076063886710770091306,1397.5571955719556
51.178.75.191:443 => 192.168.1.134:49476,51.178.75.191,443,192.168.1.134,49476,6,1680576136.879614,balkanweb,2.532018,528,528,763451,0,301518.7885710133182307550736,208.5293232512565076551588496,1445.9299242424242
192.168.1.134:49478 => 51.178.75.191:443,192.168.1.134,49478,51.178.75.191,443,6,1680576137.041282,balkanweb,2.330290,134,134,19634,0,8425.560767114822618644031430,57.50357251672538611074158152,146.52238805970148
192.168.1.134:49479 => 51.178.75.191:443,192.168.1.134,49479,51.178.75.191,443,6,1680576137.041821,balkanweb,2.369950,161,161,22651,0,9557.585603071794763602607650,67.93392265659613072005738518,140.68944099378882
192.168.1.134:49480 => 51.178.75.191:443,192.168.1.134,49480,51.178.75.191,443,6,1680576137.043426,balkanweb,2.331142,176,176,22413,0,9614.600912342534260032207390,75.49947622238370721303120960,127.3465909090909
192.168.1.134:49481 => 51.178.75.191:443,192.168.1.134,49481,51.178.75.191,443,6,1680576137.043782,balkanweb,2.331705,233,233,28340,0,12154.19617833302240206201042,99.92687754239923146367143356,121.63090128755364
51.178.75.191:443 => 192.168.1.134:49479,51.178.75.191,443,192.168.1.134,49479,6,1680576137.087815,balkanweb,2.323825,270,270,384080,0,165279.2271362946865620259701,116.1877507987907867416866588,1422.5185185185185
51.178.75.191:443 => 192.168.1.134:49478,51.178.75.191,443,192.168.1.134,49478,6,1680576137.087815,balkanweb,2.283728,195,195,273610,0,119808.4885765730419734749497,85.38670104320654648889885310,1403.128205128205
51.178.75.191:443 => 192.168.1.134:49480,51.178.75.191,443,192.168.1.134,49480,6,1680576137.087925,balkanweb,2.286620,341,341,492076,0,215197.9778012962363663398378,149.1284078683821535716472348,1443.0381231671554
51.178.75.191:443 => 192.168.1.134:49481,51.178.75.191,443,192.168.1.134,49481,6,1680576137.089004,balkanweb,2.286410,520,520,741488,0,324302.2904903320051959184923,227.4307757576287717426008459,1425.9384615384615
192.168.1.134:49490 => 51.178.75.191:443,192.168.1.134,49490,51.178.75.191,443,6,1680576137.288043,balkanweb,0.232654,12,12,1989,0,8549.176029640582152036930377,51.57873924368375355678389368,165.75
192.168.1.134:49491 => 51.178.75.191:443,192.168.1.134,49491,51.178.75.191,443,6,1680576137.288083,balkanweb,0.229691,9,9,1830,0,7967.225533434048351916270119,39.18307639393794271434231206,203.33333333333334
192.168.1.134:49492 => 51.178.75.191:443,192.168.1.134,49492,51.178.75.191,443,6,1680576137.310615,balkanweb,0.275490,12,12,1992,0,7230.752477403898508112817162,43.55874986387890667537841664,166.0
51.178.75.191:443 => 192.168.1.134:49491,51.178.75.191,443,192.168.1.134,49491,6,1680576137.371944,balkanweb,0.145768,11,11,9049,0,62078.09670160803468525327918,75.46237857417265792217770704,822.6363636363636
51.178.75.191:443 => 192.168.1.134:49490,51.178.75.191,443,192.168.1.134,49490,6,1680576137.372666,balkanweb,0.147865,12,12,10405,0,70368.24130118689345010651608,81.15510769959084299868122950,867.0833333333334
51.178.75.191:443 => 192.168.1.134:49492,51.178.75.191,443,192.168.1.134,49492,6,1680576137.406751,balkanweb,0.179300,11,11,8762,0,48867.81929726715002788622421,61.34969325153374233128834356,796.5454545454545
