FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:51071 => 51.178.75.191:443,192.168.1.56,51071,51.178.75.191,443,6,1680593440.993923,balkanweb,1.389071,40,40,8970,0,6457.553285613190398474951964,28.79622423907777212251929527,224.25
192.168.1.56:51072 => 51.178.75.191:443,192.168.1.56,51072,51.178.75.191,443,6,1680593440.994145,balkanweb,1.388916,30,30,6855,0,4935.503658968576933378260456,21.59957837623009598852630397,228.5
51.178.75.191:443 => 192.168.1.56:51071,51.178.75.191,443,192.168.1.56,51071,6,1680593441.033046,balkanweb,1.349789,79,79,105092,0,77858.09485778888404039446165,58.52766617597268906473530307,1330.2784810126582
51.178.75.191:443 => 192.168.1.56:51072,51.178.75.191,443,192.168.1.56,51072,6,1680593441.034666,balkanweb,1.348170,50,50,60892,0,45166.41076422112938279297121,37.08731094743244546310925180,1217.84
192.168.1.56:51074 => 51.178.75.191:443,192.168.1.56,51074,51.178.75.191,443,6,1680593441.166803,balkanweb,1.216215,20,20,4563,0,3751.803751803751803751803752,16.44446088890533334977779422,228.15
192.168.1.56:51075 => 51.178.75.191:443,192.168.1.56,51075,51.178.75.191,443,6,1680593441.167138,balkanweb,1.215901,26,26,7078,0,5821.197613950477876077081933,21.38331985910037083611247955,272.2307692307692
192.168.1.56:51076 => 51.178.75.191:443,192.168.1.56,51076,51.178.75.191,443,6,1680593441.167372,balkanweb,1.215710,26,26,5296,0,4356.302078620723692327940051,21.38667938899902114813565735,203.69230769230768
192.168.1.56:51077 => 51.178.75.191:443,192.168.1.56,51077,51.178.75.191,443,6,1680593441.167450,balkanweb,1.210777,28,28,7002,0,5783.063272592723515560668893,23.12564576301003405251338603,250.07142857142858
51.178.75.191:443 => 192.168.1.56:51074,51.178.75.191,443,192.168.1.56,51074,6,1680593441.207609,balkanweb,1.175227,33,33,38094,0,32414.16339141289299854411105,28.07968162746431115010121449,1154.3636363636363
51.178.75.191:443 => 192.168.1.56:51075,51.178.75.191,443,192.168.1.56,51075,6,1680593441.207610,balkanweb,1.175226,36,36,38382,0,32659.25022080859341096946460,30.63240602233102399027931649,1066.1666666666667
51.178.75.191:443 => 192.168.1.56:51077,51.178.75.191,443,192.168.1.56,51077,6,1680593441.207610,balkanweb,1.170434,46,46,54536,0,46594.68197266996686699121864,39.30166075148192892550968273,1185.5652173913043
51.178.75.191:443 => 192.168.1.56:51076,51.178.75.191,443,192.168.1.56,51076,6,1680593441.207611,balkanweb,1.175226,76,76,100168,0,85232.96795680150030717496039,64.66841271380993953503411259,1318.0
192.168.1.56:51087 => 51.178.75.191:443,192.168.1.56,51087,51.178.75.191,443,6,1680593441.393927,balkanweb,0.987192,12,12,1894,0,1918.573084060648789698457848,12.15569007852575790727639608,157.83333333333334
192.168.1.56:51088 => 51.178.75.191:443,192.168.1.56,51088,51.178.75.191,443,6,1680593441.394013,balkanweb,0.988945,12,12,1897,0,1918.205764729079979169721269,12.13414295031574051135300750,158.08333333333334
192.168.1.56:51089 => 51.178.75.191:443,192.168.1.56,51089,51.178.75.191,443,6,1680593441.403178,balkanweb,0.977971,11,11,1839,0,1880.423857149138369133645067,11.24777728582953891270804554,167.1818181818182
51.178.75.191:443 => 192.168.1.56:51087,51.178.75.191,443,192.168.1.56,51087,6,1680593441.431577,balkanweb,0.949445,12,12,10405,0,10959.03396194618961603884375,12.63896276245596111412456751,867.0833333333334
51.178.75.191:443 => 192.168.1.56:51088,51.178.75.191,443,192.168.1.56,51088,6,1680593441.433988,balkanweb,0.948842,12,12,8814,0,9289.217804439516800478899543,12.64699496860383499044097964,734.5
51.178.75.191:443 => 192.168.1.56:51089,51.178.75.191,443,192.168.1.56,51089,6,1680593441.444629,balkanweb,0.936398,11,11,9049,0,9663.625936834551120356942240,11.74714170683833156414259749,822.6363636363636
