FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:53954 => 188.114.97.7:443,192.168.1.56,53954,188.114.97.7,443,6,1680593892.535743,epokaere,4.637739,62,62,5604,0,1208.347429641900934916777335,13.36858326870054567538190485,90.38709677419355
192.168.1.56:53955 => 188.114.97.7:443,192.168.1.56,53955,188.114.97.7,443,6,1680593892.535976,epokaere,0.109117,8,8,985,0,9027.007707323331836469111138,73.31579863815904029619582650,123.125
188.114.97.7:443 => 192.168.1.56:53954,188.114.97.7,443,192.168.1.56,53954,6,1680593892.568638,epokaere,4.604666,143,143,181286,0,39370.06506009339222432202466,31.05545548797676096377022785,1267.7342657342658
188.114.97.7:443 => 192.168.1.56:53955,188.114.97.7,443,192.168.1.56,53955,6,1680593892.569515,epokaere,0.075536,6,6,2958,0,39160.13556449904681211607710,79.43232366024147426392713408,493.0
192.168.1.56:53972 => 188.114.96.7:443,192.168.1.56,53972,188.114.96.7,443,6,1680593893.502490,epokaere,0.124474,6,6,817,0,6563.619711747031508588138888,48.20283754036987644005977152,136.16666666666666
192.168.1.56:53973 => 188.114.96.7:443,192.168.1.56,53973,188.114.96.7,443,6,1680593893.502770,epokaere,0.089313,3,3,156,0,1746.666218803533640119579457,33.58973497699103154076114339,52.0
192.168.1.56:53974 => 188.114.96.7:443,192.168.1.56,53974,188.114.96.7,443,6,1680593893.502854,epokaere,0.089186,6,6,829,0,9295.180857982194514834166797,67.27513286838741506514475366,138.16666666666666
192.168.1.56:53975 => 188.114.96.7:443,192.168.1.56,53975,188.114.96.7,443,6,1680593893.502928,epokaere,3.656211,106,106,11721,0,3205.777784706626614273629175,28.99176223691685189941171338,110.5754716981132
188.114.96.7:443 => 192.168.1.56:53974,188.114.96.7,443,192.168.1.56,53974,6,1680593893.545467,epokaere,0.046446,6,6,4611,0,99276.57925332644361193644232,129.1822761917064978684924428,768.5
188.114.96.7:443 => 192.168.1.56:53975,188.114.96.7,443,192.168.1.56,53975,6,1680593893.545468,epokaere,3.613567,105,105,115487,0,31959.28012404363887538268974,29.05716152488662864145040067,1099.8761904761905
188.114.96.7:443 => 192.168.1.56:53972,188.114.96.7,443,192.168.1.56,53972,6,1680593893.545468,epokaere,0.081362,7,7,4663,0,57311.76716403234925395147612,86.03524987094712519357931221,666.1428571428571
188.114.96.7:443 => 192.168.1.56:53973,188.114.96.7,443,192.168.1.56,53973,6,1680593893.583828,epokaere,0.008087,5,5,4551,0,562755.0389514034870780264622,618.2762458266353406702114505,910.2
192.168.1.56:54086 => 188.114.97.7:443,192.168.1.56,54086,188.114.97.7,443,6,1680593894.927984,epokaere,2.245585,13,13,1842,0,820.2762309153294130482702726,5.789137351736852535085512238,141.69230769230768
188.114.97.7:443 => 192.168.1.56:54086,188.114.97.7,443,192.168.1.56,54086,6,1680593894.960518,epokaere,2.212792,12,12,6125,0,2767.996268966988311599101949,5.423013098384303630888036472,510.4166666666667
