FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:54837 => 188.40.137.224:443,192.168.1.134,54837,188.40.137.224,443,6,1680569737.721443,shqiperia,3.834076,84,84,9241,0,2410.228696562092144235012556,21.90879888661570610493897356,110.01190476190476
192.168.1.134:54838 => 188.40.137.224:443,192.168.1.134,54838,188.40.137.224,443,6,1680569737.724498,shqiperia,3.828336,84,84,8752,0,2286.110728002975705371733307,21.94164775505598254698647141,104.19047619047619
188.40.137.224:443 => 192.168.1.134:54837,188.40.137.224,443,192.168.1.134,54837,6,1680569737.805877,shqiperia,3.734146,113,113,154958,0,41497.57401022884482824185235,30.26126991285289862795937813,1371.3097345132744
188.40.137.224:443 => 192.168.1.134:54838,188.40.137.224,443,192.168.1.134,54838,6,1680569737.814006,shqiperia,3.738701,115,115,159263,0,42598.48540977200369861082766,30.75934662868199409367050213,1384.895652173913
192.168.1.134:54840 => 188.40.137.224:443,192.168.1.134,54840,188.40.137.224,443,6,1680569738.100352,shqiperia,3.455231,120,120,11740,0,3397.746778724779906177039972,34.72995003807270772923720585,97.83333333333333
192.168.1.134:54841 => 188.40.137.224:443,192.168.1.134,54841,188.40.137.224,443,6,1680569738.100665,shqiperia,3.464303,58,58,8786,0,2536.152293838038993702340702,16.74218450291443906609785576,151.48275862068965
192.168.1.134:54842 => 188.40.137.224:443,192.168.1.134,54842,188.40.137.224,443,6,1680569738.101109,shqiperia,3.454308,105,105,9642,0,2791.297128107858361211565384,30.39682622394991992607491862,91.82857142857142
192.168.1.134:54843 => 188.40.137.224:443,192.168.1.134,54843,188.40.137.224,443,6,1680569738.102132,shqiperia,3.453422,107,107,11746,0,3401.264021599445419644630746,30.98376045557131448169380979,109.77570093457943
188.40.137.224:443 => 192.168.1.134:54840,188.40.137.224,443,192.168.1.134,54840,6,1680569738.153532,shqiperia,3.386489,211,211,295812,0,87350.64546201094998389187149,62.30641824024823349492645628,1401.952606635071
188.40.137.224:443 => 192.168.1.134:54841,188.40.137.224,443,192.168.1.134,54841,6,1680569738.153941,shqiperia,3.410959,60,60,69672,0,20425.92713662052226368009700,17.59036095127499333765078970,1161.2
188.40.137.224:443 => 192.168.1.134:54842,188.40.137.224,443,192.168.1.134,54842,6,1680569738.154743,shqiperia,3.385280,133,133,181012,0,53470.31855562907647225635693,39.28773986199073636449569903,1360.9924812030076
188.40.137.224:443 => 192.168.1.134:54843,188.40.137.224,443,192.168.1.134,54843,6,1680569738.154750,shqiperia,3.386806,140,140,190598,0,56276.62169017062093311515333,41.33688200623242075276824241,1361.4142857142858
