FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58513 => 65.254.227.240:443,192.168.1.134,58513,65.254.227.240,443,6,1680570423.382707,tribuna-news,4.493975,163,163,15412,0,3429.480582335237734967372983,36.27078477294599992211794681,94.5521472392638
192.168.1.134:58514 => 65.254.227.240:443,192.168.1.134,58514,65.254.227.240,443,6,1680570423.385214,tribuna-news,4.492542,196,196,16744,0,3727.065879406358360144434932,43.62786146462292394817900423,85.42857142857143
65.254.227.240:443 => 192.168.1.134:58513,65.254.227.240,443,192.168.1.134,58513,6,1680570423.507357,tribuna-news,4.369198,335,335,477060,0,109187.0865087826186865415575,76.67311025959455259294726401,1424.0597014925372
65.254.227.240:443 => 192.168.1.134:58514,65.254.227.240,443,192.168.1.134,58514,6,1680570423.516540,tribuna-news,4.361150,408,408,590166,0,135323.4811918874608761450535,93.55330589408756864588468638,1446.485294117647
192.168.1.134:58516 => 65.254.227.240:443,192.168.1.134,58516,65.254.227.240,443,6,1680570425.379928,tribuna-news,2.492286,163,163,15496,0,6217.584980214951253588071353,65.40180380582324821469125133,95.06748466257669
192.168.1.134:58517 => 65.254.227.240:443,192.168.1.134,58517,65.254.227.240,443,6,1680570425.380443,tribuna-news,2.496307,79,79,8771,0,3513.590275555049919741442058,31.64674857699794135897547858,111.0253164556962
192.168.1.134:58518 => 65.254.227.240:443,192.168.1.134,58518,65.254.227.240,443,6,1680570425.381611,tribuna-news,2.482997,177,177,18421,0,7418.857131120174531020375780,71.28482233365565886708683095,104.07344632768361
192.168.1.134:58519 => 65.254.227.240:443,192.168.1.134,58519,65.254.227.240,443,6,1680570425.381681,tribuna-news,2.487444,113,113,12888,0,5181.222170227751860946417286,45.42815838266107699309009570,114.05309734513274
65.254.227.240:443 => 192.168.1.134:58519,65.254.227.240,443,192.168.1.134,58519,6,1680570425.500043,tribuna-news,2.368882,207,207,288762,0,121898.0092718843741478047450,87.38299332765414233380978875,1394.9855072463768
65.254.227.240:443 => 192.168.1.134:58516,65.254.227.240,443,192.168.1.134,58516,6,1680570425.504036,tribuna-news,2.368131,341,341,487035,0,205662.1867624721774259954369,143.9954124159516513233431765,1428.2551319648094
65.254.227.240:443 => 192.168.1.134:58518,65.254.227.240,443,192.168.1.134,58518,6,1680570425.504043,tribuna-news,2.360496,369,369,526328,0,222973.4767608163707966461286,156.3230778616019683998617240,1426.3631436314363
65.254.227.240:443 => 192.168.1.134:58517,65.254.227.240,443,192.168.1.134,58517,6,1680570425.506652,tribuna-news,2.369911,142,142,193129,0,81492.08978733800552003851621,59.91786189439181471371709739,1360.0633802816901
