FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:52111 => 65.254.227.240:443,192.168.1.134,52111,65.254.227.240,443,6,1680569285.149937,tribuna-news,4.941051,189,189,20258,0,4099.937442459104348447324264,38.25097130144983324397987392,107.18518518518519
192.168.1.134:52112 => 65.254.227.240:443,192.168.1.134,52112,65.254.227.240,443,6,1680569285.150377,tribuna-news,4.941795,157,157,14153,0,2863.939115240514833172966503,31.76983262154743367541551197,90.14649681528662
65.254.227.240:443 => 192.168.1.134:52111,65.254.227.240,443,192.168.1.134,52111,6,1680569285.268464,tribuna-news,4.704810,459,459,650530,0,138269.1330787003088328752915,97.55973142379819801437252514,1417.276688453159
65.254.227.240:443 => 192.168.1.134:52112,65.254.227.240,443,192.168.1.134,52112,6,1680569285.280128,tribuna-news,4.545473,355,355,504098,0,110901.1097414944495325348979,78.09968291528736393330243079,1419.9943661971831
192.168.1.134:52114 => 65.254.227.240:443,192.168.1.134,52114,65.254.227.240,443,6,1680569287.311561,tribuna-news,2.780654,96,96,11366,0,4087.527610411075955512624009,34.52425220829344463568642485,118.39583333333333
192.168.1.134:52115 => 65.254.227.240:443,192.168.1.134,52115,65.254.227.240,443,6,1680569287.312576,tribuna-news,2.779606,106,106,10731,0,3860.619094936476608555313235,38.13490113346999538783554216,101.23584905660377
192.168.1.134:52116 => 65.254.227.240:443,192.168.1.134,52116,65.254.227.240,443,6,1680569287.312939,tribuna-news,2.779252,122,122,10779,0,3878.381665282601217881645853,43.89670314170863239461552965,88.35245901639344
192.168.1.134:52117 => 65.254.227.240:443,192.168.1.134,52117,65.254.227.240,443,6,1680569287.313186,tribuna-news,2.779016,166,166,14602,0,5254.377808548061616054027757,59.73337325153939379981979233,87.96385542168674
65.254.227.240:443 => 192.168.1.134:52115,65.254.227.240,443,192.168.1.134,52115,6,1680569287.434766,tribuna-news,2.417146,229,229,322545,0,133440.4293327750992285943836,94.73982953450060525926030120,1408.4934497816594
65.254.227.240:443 => 192.168.1.134:52116,65.254.227.240,443,192.168.1.134,52116,6,1680569287.437733,tribuna-news,2.433671,241,241,344269,0,141460.7808532870712598375047,99.02735414934886432882669843,1428.5020746887967
65.254.227.240:443 => 192.168.1.134:52117,65.254.227.240,443,192.168.1.134,52117,6,1680569287.437739,tribuna-news,2.466988,353,353,504927,0,204673.4722665858123347174773,143.0894678044643913954992890,1430.3881019830028
65.254.227.240:443 => 192.168.1.134:52114,65.254.227.240,443,192.168.1.134,52114,6,1680569287.443386,tribuna-news,2.481862,190,190,256658,0,103413.4855201457615290455311,76.55542491887139575044865508,1350.8315789473684
