FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:56139 => 65.254.227.240:443,192.168.1.56,56139,65.254.227.240,443,6,1680594094.340245,tribuna-news,4.291117,71,71,13322,0,3104.552963715508106630511356,16.54580846898371682711051691,187.6338028169014
192.168.1.56:56140 => 65.254.227.240:443,192.168.1.56,56140,65.254.227.240,443,6,1680594094.340466,tribuna-news,4.289293,57,57,10822,0,2523.026522086507030412704378,13.28890332276204959651858710,189.859649122807
192.168.1.56:56141 => 65.254.227.240:443,192.168.1.56,56141,65.254.227.240,443,6,1680594094.429817,tribuna-news,4.199979,41,41,7676,0,1827.628185759976418929713696,9.761953571672620267863244078,187.21951219512195
65.254.227.240:443 => 192.168.1.56:56139,65.254.227.240,443,192.168.1.56,56139,6,1680594094.482479,tribuna-news,4.148767,444,444,623762,0,150348.7662720032240904345797,107.0197482770182080603707077,1404.8693693693695
65.254.227.240:443 => 192.168.1.56:56140,65.254.227.240,443,192.168.1.56,56140,6,1680594094.482492,tribuna-news,4.147102,412,412,582346,0,140422.3961696625740095131492,99.34648339973311483537178492,1413.4611650485438
65.254.227.240:443 => 192.168.1.56:56141,65.254.227.240,443,192.168.1.56,56141,6,1680594094.572242,tribuna-news,4.057353,227,227,314235,0,77448.27723887963408655840396,55.94780636538156773640351234,1384.295154185022
192.168.1.56:56143 => 65.254.227.240:443,192.168.1.56,56143,65.254.227.240,443,6,1680594096.399233,tribuna-news,2.234251,43,43,7084,0,3170.637497756518851283942583,19.24582332065645265460326526,164.74418604651163
192.168.1.56:56144 => 65.254.227.240:443,192.168.1.56,56144,65.254.227.240,443,6,1680594096.400119,tribuna-news,2.223970,57,57,11826,0,5317.517772272107987068170884,25.62984212916541140393080842,207.47368421052633
192.168.1.56:56145 => 65.254.227.240:443,192.168.1.56,56145,65.254.227.240,443,6,1680594096.400463,tribuna-news,2.229241,48,48,8982,0,4029.174055205336704286346788,21.53199227898643529344741102,187.125
65.254.227.240:443 => 192.168.1.56:56145,65.254.227.240,443,192.168.1.56,56145,6,1680594096.541861,tribuna-news,2.087726,237,237,326818,0,156542.5731154375622088339179,113.5206439925545785222773487,1378.9789029535864
65.254.227.240:443 => 192.168.1.56:56144,65.254.227.240,443,192.168.1.56,56144,6,1680594096.541913,tribuna-news,2.081985,350,350,488458,0,234611.6806797359250907187132,168.1088000153699474299766809,1395.5942857142857
65.254.227.240:443 => 192.168.1.56:56143,65.254.227.240,443,192.168.1.56,56143,6,1680594096.545823,tribuna-news,2.087579,159,159,216938,0,103918.4624869286383892537720,76.16478226692259310905120237,1364.3899371069183
